warehouse_code,item_code,sales_days,input_cd
1,111048,17,
1,111099,20,
1,111103,9,
1,111113,32,
1,111120,14,
1,111149,7,
1,111179,17,
1,111183,22,
1,111207,7,
1,111239,69,
1,111344,12,
1,111455,7,
1,111487,6,
1,112018,10,
1,112030,17,
1,112037,55,
1,112056,37,
1,112086,150,
1,112110,23,
1,112115,31,
1,112199,57,
1,112243,6,
1,112291,40,
1,112314,59,
1,112341,11,
1,112417,11,
1,112601,32,
1,112611,16,
1,112623,9,
1,112656,14,
1,112671,15,
1,112678,12,
1,112720,20,
1,112727,53,
1,112738,26,
1,112739,7,
1,112748,16,
1,112780,17,
1,112785,8,
1,112789,31,
1,112886,80,
1,112887,34,
1,112956,67,
1,113068,21,
1,113073,24,
1,113089,20,
1,113111,12,
1,113131,21,
1,113177,16,
1,113241,25,
1,113258,19,
1,113282,25,
1,113359,6,
1,113400,6,
1,113405,7,
1,113406,12,
1,113438,9,
1,113524,8,
1,113531,14,
1,113625,18,
1,113672,36,
1,113755,33,
1,113827,30,
1,113884,24,
1,113928,15,
1,113929,20,
1,113956,30,
1,113977,23,
1,114012,17,
1,114018,122,
1,114037,36,
1,114047,37,
1,114049,39,
1,114053,42,
1,114064,26,
1,114073,23,
1,114074,43,
1,114076,9,
1,114078,98,
1,114096,31,
1,114117,28,
1,114126,34,
1,114127,27,
1,114131,31,
1,114132,63,
1,114134,9,
1,114139,46,
1,114169,33,
1,114170,40,
1,114189,48,
1,114190,17,
1,114230,17,
1,114245,9,
1,114257,19,
1,115003,45,
1,115007,15,
1,115013,162,
1,115014,37,
1,116001,32,
1,116010,7,
1,116013,72,
1,116023,14,
1,116026,29,
1,116029,16,
1,116034,16,
1,116060,26,
1,116110,21,
1,117010,6,
1,118139,11,
1,118142,14,
1,118179,42,
1,118233,7,
1,118530,12,
1,118537,8,
1,118627,12,
1,119053,9,
1,119066,21,
1,119068,28,
1,119070,41,
1,119086,7,
1,119087,8,
1,119099,16,
1,119159,27,
1,119290,46,
1,119316,22,
1,119334,41,
1,119335,48,
1,119345,9,
1,119389,11,
1,119469,27,
1,119471,12,
1,119474,12,
1,119519,7,
1,119525,17,
1,119534,28,
1,119576,13,
1,119613,9,
1,119685,14,
1,121031,11,
1,121085,34,
1,121163,56,
1,121164,75,
1,121169,34,
1,121199,7,
1,121203,9,
1,122002,25,
1,122047,7,
1,122049,55,
1,122050,49,
1,122058,83,
1,122059,46,
1,122094,16,
1,122099,6,
1,122140,24,
1,122142,8,
1,122169,14,
1,122180,22,
1,122195,8,
1,122215,27,
1,122279,164,
1,122280,100,
1,122321,12,
1,122347,18,
1,122379,6,
1,122413,53,
1,122442,51,
1,122445,9,
1,122446,56,
1,122491,23,
1,122499,12,
1,122563,7,
1,122579,14,
1,122646,164,
1,122781,8,
1,122817,8,
1,122846,6,
1,122856,15,
1,122857,14,
1,122884,11,
1,122928,10,
1,122944,40,
1,122972,19,
1,122998,152,
1,123006,7,
1,123071,40,
1,123110,116,
1,123118,19,
1,123161,37,
1,123170,54,
1,123190,12,
1,123247,37,
1,123279,7,
1,123285,8,
1,123400,74,
1,123424,14,
1,123490,15,
1,123493,30,
1,123556,36,
1,123571,35,
1,123574,32,
1,123661,17,
1,123819,16,
1,123874,9,
1,123943,74,
1,123947,7,
1,123962,13,
1,129002,137,
1,129007,103,
1,129009,38,
1,129010,57,
1,129012,91,
1,129014,98,
1,129019,30,
1,131038,20,
1,131047,34,
1,131048,12,
1,131051,30,
1,131063,29,
1,131074,37,
1,131076,10,
1,131084,57,
1,131105,6,
1,131133,57,
1,131137,23,
1,131145,82,
1,131194,76,
1,131196,143,
1,131197,99,
1,131252,78,
1,131254,12,
1,131281,40,
1,131302,23,
1,131330,77,
1,131340,18,
1,131352,25,
1,131464,65,
1,131489,45,
1,131495,10,
1,131524,60,
1,132002,21,
1,132003,65,
1,132013,17,
1,132017,45,
1,132049,70,
1,132062,7,
1,132104,7,
1,132106,20,
1,132119,48,
1,132147,28,
1,132150,39,
1,132187,7,
1,132194,10,
1,132240,23,
1,132245,18,
1,132255,14,
1,132262,7,
1,132266,19,
1,132315,8,
1,132361,6,
1,132381,16,
1,132390,52,
1,132391,32,
1,132411,7,
1,132420,7,
1,132437,41,
1,132438,40,
1,132439,37,
1,132488,8,
1,132497,13,
1,132674,26,
1,132711,10,
1,132720,31,
1,132721,11,
1,133033,11,
1,133063,42,
1,135056,9,
1,135066,16,
1,135073,15,
1,135092,7,
1,135125,32,
1,141004,38,
1,141019,124,
1,141020,46,
1,141026,31,
1,141027,67,
1,141037,14,
1,141043,34,
1,141048,68,
1,141077,28,
1,141080,63,
1,141081,31,
1,141216,8,
1,141238,13,
1,141264,18,
1,142025,35,
1,142026,49,
1,142034,22,
1,142035,10,
1,142069,103,
1,142070,59,
1,142102,119,
1,142104,26,
1,142207,24,
1,142247,78,
1,142269,10,
1,142293,62,
1,142295,45,
1,142330,124,
1,142339,53,
1,142342,23,
1,142349,58,
1,142350,39,
1,142368,123,
1,142369,59,
1,142404,125,
1,142466,29,
1,142493,23,
1,142515,12,
1,142534,53,
1,142543,129,
1,142544,51,
1,142627,149,
1,142628,95,
1,142655,14,
1,142734,16,
1,142755,65,
1,142756,26,
1,142764,48,
1,142765,30,
1,142773,114,
1,142774,57,
1,142848,24,
1,142859,168,
1,142860,96,
1,142880,22,
1,143004,136,
1,143005,110,
1,143007,75,
1,143009,12,
1,143022,71,
1,143024,179,
1,143025,153,
1,143027,15,
1,143037,90,
1,143047,82,
1,143052,25,
1,143059,168,
1,143060,106,
1,143074,176,
1,143075,102,
1,143085,142,
1,143114,64,
1,143136,56,
1,143141,10,
1,143178,118,
1,143180,91,
1,143194,58,
1,143244,115,
1,144006,16,
1,145014,35,
1,145017,168,
1,145018,91,
1,145030,11,
1,146121,17,
1,146163,67,
1,146164,34,
1,147003,152,
1,147004,95,
1,147017,168,
1,147043,166,
1,147044,70,
1,147047,47,
1,147066,75,
1,147081,89,
1,147084,144,
1,147085,52,
1,147124,118,
1,147125,60,
1,147126,42,
1,147198,118,
1,147199,37,
1,147204,38,
1,147213,137,
1,147214,55,
1,147253,133,
1,147254,45,
1,147255,72,
1,147271,121,
1,147272,52,
1,149005,8,
1,149137,11,
1,149293,12,
1,149673,20,
1,149693,47,
1,149982,42,
1,151034,6,
1,151055,7,
1,151072,10,
1,151086,9,
1,151233,21,
1,151242,12,
1,151243,24,
1,151253,25,
1,151432,50,
1,152270,13,
1,152290,9,
1,152301,9,
1,152341,7,
1,152539,7,
1,152631,11,
1,152668,12,
1,152845,11,
1,153621,11,
1,153622,23,
1,153938,14,
1,154040,6,
1,154256,12,
1,154260,12,
1,154486,23,
1,154515,9,
1,154715,17,
1,154797,11,
1,154798,17,
1,155009,10,
1,155131,11,
1,155168,10,
1,155176,6,
1,155206,6,
1,155618,18,
1,156052,17,
