real_stock_id	item_id	item_code	item_name	current_quantity	reserved_quantity	available_quantity	patch_location_id	patch_floor_id	patch_location_code
35779	920000	920000	部システム９２０（お肉）	17536	0	17536	10	10	ZZ-1
21799	400000	400000	部システム ４００   分類打	1996	0	1996	327	10	Z-0-0
23792	470000	470000	　部システム４７０（化粧箱）	1048	0	1048	327	10	Z-0-0
23795	471010	471010	　一本義　７２０ｍｌ　共通カートン１枚	645	0	645	10	10	ZZ-1
23797	471014	471014	　永平寺白龍　７２０ｍｌ共通カートン１枚	454	0	454	10	10	ZZ-1
35747	720000	720000	部部システム７１０（空容器）	409	0	409	327	10	Z-0-0
23800	471028	471028	　梵　７２０ｍｌ　共通カートン１枚	334	0	334	10	10	ZZ-1
35749	721001	721001	　空容器　清酒　瓶	228	0	228	10	10	ZZ-1
35750	721003	721003	　空容器　生酒　３００ｍｌ	216	0	216	327	10	Z-0-0
42461	150000	150000	部部システム１５０　分類	152	0	152	10	10	ZZ-1
46251	251094	251094	　アサヒ　スタイルバランス　無糖レモンサワー２００ｍｌ	139	0	139	10	10	ZZ-1
31687	211914	211914	　サントリー　天然水スパークリング５００ｍｌ	96	0	96	327	10	Z-0-0
33621	140000	140000	部システム １４０   分類	76	0	76	327	10	Z-0-0
51498	212123	212123	　大塚　ポカリスエット　イオンウォーター５００ｍｌ	72	0	72	2495	11	Q-00-000
51565	210608	210608	　明治　明治フルーツ２２０ｍｌ	72	0	72	327	10	Z-0-0
21797	340000	340000	　ハリカ金額管理ギフト（仕入用）	71	0	71	10	10	ZZ-1
38998	160000	160000	部システム １６０ 	60	0	60	327	10	Z-0-0
42431	114150	114150	　白鶴　上撰　サケカップ２００ｍｌ	60	0	60	10	10	ZZ-1
50386	153336	153336	　フォルタン　カベルネソービニヨン　１８７ｍｌ	58	0	58	10	10	ZZ-1
38913	112651	112651	　一乃谷金印カップ１８０ｍｌ	57	0	57	10	10	ZZ-1
35561	111056	111056	○月桂冠上撰　キャップエース１８０ｍｌ	52	0	52	10	10	ZZ-1
23592	122887	122887	　２５°本格芋焼酎　伊七郎７２０ｍｌ	45	0	45	10	10	ZZ-1
40545	112975	112975	　小浜酒造純米酒わかさ３００ｍｌ	45	0	45	10	10	ZZ-1
