real_stock_id	warehouse_id	item_id	item_code	item_name	current_quantity	reserved_quantity	parent_available_qty	lot_pickable_qty	missing_qty	reason	default_location_status	default_location_code	z00_code	z00_flags	z00_floor_id
35779	91	920000	920000	部システム９２０（お肉）	17536	0	17536	0	17536	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	8	NULL
51569	91	142932	142932	　アサヒ　スーパードライ　冷涼辛口３５０ｍｌ	11520	0	11520	0	11520	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
1302	2	143024	143024	◎アサヒ　スーパードライ３５０ｍｌ	7147	0	7147	2003	5144	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
51570	91	142933	142933	　アサヒ　スーパードライ　冷涼辛口５００ｍｌ	2976	0	2976	0	2976	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51563	91	142642	142642	　サントリー　パーフェクトサントリービール　エールビール３５０ｍｌ	2208	0	2208	0	2208	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
21799	91	400000	400000	部システム ４００   分類打	1996	0	1996	0	1996	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51669	8	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	1146	0	1146	0	1146	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
7882	2	184144	184144	　サントリー　金麦３５０ｍｌ	2180	0	2180	1041	1139	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
23792	91	470000	470000	　部システム４７０（化粧箱）	1048	0	1048	0	1048	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
12527	2	210923	210923	　但馬の天然水５５０ｍｌ	1083	0	1083	372	711	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
23795	91	471010	471010	　一本義　７２０ｍｌ　共通カートン１枚	645	0	645	0	645	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	8	NULL
51564	91	142643	142643	　サントリー　パーフェクトサントリービール　エールビール５００ｍｌ	624	0	624	0	624	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51651	3	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	576	0	576	0	576	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51682	11	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	576	0	576	0	576	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51661	4	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	574	0	574	0	574	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
51680	10	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	574	0	574	0	574	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
1248	2	142543	142543	　サントリー　生ビール３５０ｍｌ	1022	0	1022	455	567	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
51647	2	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	567	0	567	0	567	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
1252	2	142627	142627	　キリン　晴れ風３５０ｍｌ	1157	0	1157	595	562	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
2122	2	143059	143059	◎キリン　一番搾り３５０ｍｌ	1352	0	1352	798	554	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
23195	21	184144	184144	　サントリー　金麦３５０ｍｌ	1021	0	1021	551	470	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
23797	91	471014	471014	　永平寺白龍　７２０ｍｌ共通カートン１枚	454	0	454	0	454	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	8	NULL
21237	21	184067	184067	　キリン　のどごし＜生＞　３５０ｍｌ	1130	0	1130	735	395	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
51667	7	251113	251113	　アサヒ　未来のノンアルレモンサワー３４５ｍｌ	384	0	384	0	384	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
