status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,1302,143024,143024,◎アサヒ　スーパードライ３５０ｍｌ,7147,0,7147,2003,5144,1302,8,2003,5144,2003,0,5144
updated,,7882,184144,184144,　サントリー　金麦３５０ｍｌ,2180,0,2180,1041,1139,7882,8,1041,1139,1041,0,1139
updated,,12527,210923,210923,　但馬の天然水５５０ｍｌ,1083,0,1083,372,711,12527,8,372,711,372,0,711
updated,,1248,142543,142543,　サントリー　生ビール３５０ｍｌ,1022,0,1022,455,567,1248,8,455,567,455,0,567
updated,,1252,142627,142627,　キリン　晴れ風３５０ｍｌ,1157,0,1157,595,562,1252,8,595,562,595,0,562
updated,,2122,143059,143059,◎キリン　一番搾り３５０ｍｌ,1352,0,1352,798,554,2122,8,798,554,798,0,554
updated,,3065,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,545,0,545,262,283,3065,8,262,283,262,0,283
updated,,548,142330,142330,　アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ,463,0,463,186,277,548,8,186,277,186,0,277
updated,,551,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,596,0,596,320,276,551,8,320,276,320,0,276
updated,,12511,210586,210586,　ミツウロコ　四季の恵み　天然水２Ｌ,371,0,371,199,172,12511,8,199,172,139,0,172
updated,,4519,122279,122279,○２５°いいちこ（麦）パック１．８Ｌ,192,0,192,92,100,4519,8,92,100,92,0,100
skipped,"no active NULL/NULL pickable lot",52280,1004023,990007875,CODEX倉庫移動在庫テスト990007875,41,0,41,0,41,,,0,41,,,41
skipped,"no active NULL/NULL pickable lot",52284,1004025,980520514,"CODEX wave 980520514",31,0,31,0,31,,,0,31,,,31
skipped,"no active NULL/NULL pickable lot",52286,1004026,980874993,"CODEX confirm 980874993",29,0,29,0,29,,,0,29,,,29
skipped,"no active NULL/NULL pickable lot",52282,1004024,980341586,"CODEX horizontal 980341586",15,0,15,0,15,,,0,15,,,15
skipped,"no active NULL/NULL pickable lot",52085,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,12,0,12,0,12,,,0,12,,,12
updated,,8590,131273,131273,　ニッカ　竹鶴　ピュアモルト（新）　７００ｍｌ,20,0,20,12,8,8590,8,12,8,12,0,8
skipped,"no active NULL/NULL pickable lot",52084,142691,142691,　ＯＵＲ　ＢＲＥＷＩＮＧ　ディノ・キング３６５ｍｌ缶,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",52086,1004012,100008,"OUR BREWING　キックオフ  缶",8,0,8,0,8,,,0,8,,,8
updated,,8568,131168,131168,　サントリー　響　ブレンダーズチョイス　７００ｍｌ,7,0,7,3,4,8568,8,3,4,3,0,4
updated,,9480,132210,132210,　アードベッグ１０年　７００ｍｌ,8,0,8,4,4,9480,8,4,4,4,0,4
updated,,10901,112037,112037,　関西　佳撰１．８Ｌ,5,0,5,2,3,10901,8,2,3,2,0,3
updated,,11680,112673,112673,　花垣本醸造１．８Ｌ,5,0,5,2,3,11680,8,2,3,2,0,3
skipped,"no active NULL/NULL pickable lot",52278,132192,132192,　ザ・マッカラン１８年　７００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,8891,450034,450034,　ＬＩＮＥ１００円クーポン,19,0,19,17,2,8891,8,17,2,17,0,2
updated,,6958,123434,123434,　２５°限定　紫の赤兎馬１．８Ｌ（芋）,5,0,5,3,2,6958,8,3,2,3,0,2
