status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
dry,,21793,185196,185196,　サントリー　こだわり酒場のレモンサワー５００ｍｌ,190,0,190,40,150,21767,1342,40,150,40,0,150
dry,,50477,184251,184251,　タカラ　焼酎ハイボール　レモン　５００ｍｌ,208,0,208,60,148,50034,2743,60,148,60,0,148
dry,,29632,211407,211407,　サンガリア　伊賀の天然水　強炭酸水５００ｍｌＰＥＴ,748,0,748,652,96,29480,2428,652,96,350,0,96
dry,,29611,211264,211264,　ウィルキンソン　タンサン５００ｍｌＰＥＴ,1223,0,1223,1151,72,29459,2466,1151,72,1151,0,72
dry,,35602,112115,112115,　一本義　生貯蔵酒３００ｍｌ,483,90,393,330,63,35423,712,420,63,420,90,63
dry,,52058,212069,212069,　カゴメ　野菜生活１００　１９０ｇ,62,0,62,4,58,54502,327,4,58,4,0,58
dry,,33712,213033,213033,　サントリー　なっちゃん　オレンジ４２５ｍｌペット,135,0,135,85,50,33538,2767,85,50,85,0,50
dry,,27580,211083,211083,　ウィルキンソン　トニック５００ｍｌＰＥＴ,227,0,227,177,50,27445,672,177,50,177,0,50
dry,,23750,210009,210009,　カルピス　カルピスウォーター５００ｍｌペット　,314,0,314,264,50,23691,1589,264,50,120,0,50
dry,,40542,112956,112956,　一本義　辛口純米酒１．８Ｌ,69,27,42,7,35,40259,710,34,35,34,27,35
dry,,37338,112203,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,94,33,61,35,26,37101,604,68,26,68,33,26
dry,,27574,211073,211073,　コカコーラコカコーラ　瓶１９０ｍｌ,1721,24,1697,1673,24,27440,2757,1697,24,901,0,24
dry,,31655,211682,211682,　サントリー　ペプシコーラ（業務用）３３０ｍｌＰＥＴ,166,0,166,142,24,31493,2481,142,24,142,0,24
dry,,33724,213111,213111,　アサヒ　バヤリース　オレンジ　瓶２００ｍｌ,2344,24,2320,2305,15,33550,2404,2329,15,1458,0,15
dry,,46231,172125,172125,　サントリー　ソウルマッコリ　ペット　１Ｌ,31,0,31,18,13,45829,1280,18,13,18,0,13
dry,,40543,112957,112957,　一本義　辛口純米酒７２０ｍｌ,81,35,46,33,13,40260,513,68,13,48,17,13
dry,,33633,141039,141039,　サッポロ　黒ラベル　小瓶３３４ｍｌ,160,0,160,150,10,33465,2730,150,10,150,0,10
dry,,38904,112601,112601,　一本義　辛口クラシック７２０ｍｌ（旧金印）,77,18,59,52,7,38646,608,70,7,52,0,7
dry,,50464,184141,184141,　ハイリキ　レモン瓶　３００ｍｌ,266,0,266,260,6,50021,669,260,6,42,0,6
dry,,31673,211827,211827,　キリン　グリーンズフリー　小瓶３３４ｍｌ,3230,38,3192,3186,6,31511,363,3224,6,2589,8,6
dry,,29561,156643,156643,　シャプティエ　コートデュローヌ　ブラン　ペルルーシュ　７５０ｍｌ,24,0,24,20,4,52979,18,20,4,20,0,4
dry,,27446,131196,131196,　サントリー　角瓶　７００ｍｌ,49,22,27,24,3,27328,515,46,3,44,20,3
dry,,31603,156826,156826,　ラ　フォルジュ　カベルネソーヴィニヨン　７５０ｍｌ,11,0,11,8,3,31450,2081,8,3,8,0,3
dry,,48203,122018,122018,　２５°黒霧島（芋）７２０ｍｌ,40,0,40,38,2,47795,2416,38,2,38,0,2
dry,,27515,210583,210583,　コスモライフ　天然水コスモウォーター１２Ｌ,57,0,57,55,2,27386,2371,55,2,55,0,2
dry,,50493,286796,286796,　ブラジル産　鶏もも肉　２００ｇＵＰ２Ｋｇ,179,0,179,177,2,50050,264,177,2,122,0,2
skipped,"no active NULL/NULL pickable lot",51572,119518,119518,　舞美人　純米吟醸　こしのひかり　無濾過生原酒５００ｍｌ,4,0,4,2,2,,,2,2,,,2
dry,,21644,122740,122740,　２５°いいちこ　深薫７２０ｍｌ（麦）,12,0,12,10,2,21644,1760,10,2,10,0,2
dry,,33721,213082,213082,　キリン　小岩井　純水りんご１．５Ｌ,81,0,81,80,1,33547,496,80,1,58,0,1
dry,,35737,215141,215141,　サントリー　ウーロン茶　業務用専用２Ｌ,161,0,161,160,1,35538,2407,160,1,160,0,1
dry,,25509,123280,123280,　２５°赤兎馬７２０ｍｌ（芋）,68,0,68,67,1,25429,2414,67,1,67,0,1
dry,,31688,211954,211954,　アサヒ　ゼロ　ノンアルコール　小瓶３３４ｍｌ,684,30,654,653,1,31525,359,683,1,683,30,1
dry,,39045,231095,231095,　三田飲料　ピーチエード１Ｌ,24,0,24,23,1,38766,1391,23,1,23,0,1
dry,,27431,131107,131107,　サントリー山崎１２年　７００ｍｌ,28,3,25,24,1,27313,2672,27,1,27,3,1
dry,,27435,131126,131126,　サントリーシングルモルト白州７００ｍｌ,36,6,30,29,1,27317,2672,35,1,35,6,1
dry,,48191,121202,121202,　２０°ジャスミン焼酎　茉莉花（まつりか）５００ｍｌ,6,0,6,5,1,47784,1101,5,1,5,0,1
skipped,"no active NULL/NULL pickable lot",21795,322501,322501,　はぐるま会　ゴルフコンペ景品,3,0,3,2,1,,,2,1,,,1
skipped,"no active NULL/NULL pickable lot",51584,156188,156188,　ヴァンサン　サンジョベーゼ　メルロー３Ｌ,9,0,9,8,1,,,8,1,,,1
