task_id,old_status,new_status,warehouse_id,warehouse_code,shipment_date,wave_id,delivery_course_id,transfer_count,stock_transfer_ids,stock_transfer_statuses,stock_transfer_confirmed_flags,stock_transfer_delivered_flags
695,PENDING,SHIPPED,91,91,2026-05-10,277,919201,1,368,BEFORE_PICKING,1,1
696,PENDING,SHIPPED,91,91,2026-05-10,277,919201,1,370,BEFORE_PICKING,1,1
697,PENDING,SHIPPED,91,91,2026-05-10,278,919204,3,"403,404,405",BEFORE_PICKING,1,1
698,PENDING,SHIPPED,91,91,2026-05-10,278,919204,1,428,BEFORE_PICKING,1,1
699,PENDING,SHIPPED,91,91,2026-05-10,279,919209,2,"553,554",BEFORE_PICKING,1,1
700,PENDING,SHIPPED,91,91,2026-05-10,280,919210,14,"371,372,373,374,375,376,377,391,392,393,394,399,400,401",BEFORE_PICKING,1,1
701,PENDING,SHIPPED,91,91,2026-05-10,280,919210,16,"378,379,380,381,382,383,384,385,386,387,388,389,390,395,396,397",BEFORE_PICKING,1,1
702,PENDING,SHIPPED,91,91,2026-05-10,280,919210,2,"398,402",BEFORE_PICKING,1,1
703,PENDING,SHIPPED,91,91,2026-05-10,281,919222,14,"408,429,430,431,432,433,434,435,437,438,439,441,442,443",BEFORE_PICKING,1,1
704,PENDING,SHIPPED,91,91,2026-05-10,281,919222,2,"436,440",BEFORE_PICKING,1,1
