warehouse_code,warehouse_name,item_code,item_name,old_shelf,new_shelf,reason,mysql_sources,old_location_ids,old_location_names,old_location_code_paths,active_lot_rows,active_lot_qty,default_location_rows,oracle_candidate_count,oracle_candidate_shelves,oracle_product_codes,oracle_chosen_product_code,oracle_sales_flag,oracle_main_vendor_cd
91,華むすびの蔵センター,111118,○松竹梅上撰 300ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,2,80,0,1,Q00000,111118000,111118000,0,1202
91,華むすびの蔵センター,112117,越前岬 大吟醸 吟の雫1.8L,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,1,0,1,Q00000,112117000,112117000,0,1460
91,華むすびの蔵センター,112788,福千歳冷酒300ml,Z-0-0,G05402,different,active_lot,327,デフォルト,Z-0-0,1,4,0,1,G05402,112788000,112788000,0,1512
91,華むすびの蔵センター,113628,久保田千寿 吟醸720ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,1,0,1,Q00000,113628000,113628000,0,1797
91,華むすびの蔵センター,116026,無冠盃辛口パック2L,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,1,0,1,YX0000,116026000,116026000,0,1290
91,華むすびの蔵センター,116060,名城播州の地酒 辛口2Lパック,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,12,0,1,YX0000,"116060000,116060900",116060000,0,1248
91,華むすびの蔵センター,119093,舞美人 山廃純米 無濾過生原酒 sanQ720ml,Z-0-0,AW0000,different,active_lot,327,デフォルト,Z-0-0,1,2,0,1,AW0000,119093000,119093000,0,1536
91,華むすびの蔵センター,119159,梵 ささ雪 しぼりたて薄にごり活性生酒720ml,Z-0-0,AW0000,different,active_lot,327,デフォルト,Z-0-0,1,6,0,1,AW0000,119159000,119159000,0,1514
91,華むすびの蔵センター,119333,梵 艶 純米大吟醸720ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,12,0,1,Q00000,119333000,119333000,0,1514
91,華むすびの蔵センター,119518,舞美人 純米吟醸 こしのひかり 無濾過生原酒500ml,Z-0-0,AW0000,different,active_lot,327,デフォルト,Z-0-0,1,2,0,1,AW0000,119518000,119518000,0,1536
91,華むすびの蔵センター,119776,永平寺白龍 薫風 生原酒720ml,Z-0-0,AW0000,different,active_lot,327,デフォルト,Z-0-0,1,24,0,1,AW0000,119776000,119776000,0,1263
91,華むすびの蔵センター,132247,ノアーズ ミル 750ml(正規),Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,2,0,1,Q00000,132247000,132247000,0,1380
91,華むすびの蔵センター,132761,バスカー アイリッシュウィスキー 700ml,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,5,0,1,YX0000,132761000,132761000,0,1602
91,華むすびの蔵センター,142773,キリン 一番搾り ホワイトビール350ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,6,0,1,Q00000,142773000,142773000,0,1330
91,華むすびの蔵センター,142932,アサヒ スーパードライ 冷涼辛口350ml,Z-0-0,A99999,different,active_lot,327,デフォルト,Z-0-0,1,11520,0,1,A99999,142932000,142932000,0,1021
91,華むすびの蔵センター,142933,アサヒ スーパードライ 冷涼辛口500ml,Z-0-0,A99999,different,active_lot,327,デフォルト,Z-0-0,1,2976,0,1,A99999,142933000,142933000,0,1021
91,華むすびの蔵センター,143052,ハイネケン350ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,48,0,1,Q00000,143052000,143052000,0,1330
