倉庫CD,商品コード,商品名,旧棚番,新棚番
91,111118,○松竹梅上撰 300ml,Z-0-0,Q00000
91,112117,越前岬 大吟醸 吟の雫1.8L,Z-0-0,Q00000
91,112788,福千歳冷酒300ml,Z-0-0,G05402
91,113628,久保田千寿 吟醸720ml,Z-0-0,Q00000
91,116026,無冠盃辛口パック2L,Z-0-0,YX0000
91,116060,名城播州の地酒 辛口2Lパック,Z-0-0,YX0000
91,119093,舞美人 山廃純米 無濾過生原酒 sanQ720ml,Z-0-0,AW0000
91,119159,梵 ささ雪 しぼりたて薄にごり活性生酒720ml,Z-0-0,AW0000
91,119333,梵 艶 純米大吟醸720ml,Z-0-0,Q00000
91,119518,舞美人 純米吟醸 こしのひかり 無濾過生原酒500ml,Z-0-0,AW0000
91,119776,永平寺白龍 薫風 生原酒720ml,Z-0-0,AW0000
91,132247,ノアーズ ミル 750ml(正規),Z-0-0,Q00000
91,132761,バスカー アイリッシュウィスキー 700ml,Z-0-0,YX0000
91,142773,キリン 一番搾り ホワイトビール350ml,Z-0-0,Q00000
91,142932,アサヒ スーパードライ 冷涼辛口350ml,Z-0-0,A99999
91,142933,アサヒ スーパードライ 冷涼辛口500ml,Z-0-0,A99999
91,143052,ハイネケン350ml,Z-0-0,Q00000
91,149365,オハラズ フィフティファースト ステイトIPA330ml瓶,Z-0-0,W06112
91,149693,ABインベブ バドワイザー 缶330ml,Z-0-0,Q00000
91,156935,レ タンヌ オクシタン カベルネソービニヨン 750ml,ZZ1100,I07307
91,171335,鳴門鯛にごりゆず酒720ml,Z-0-0,Q00000
91,185094,アサヒ 贅沢搾り キウイ350ml,Z-0-0,YC0000
91,185138,ジーマ 缶 330ml,Z-0-0,Q00000
91,210113,モナン カシスシロップ700ml,G04,G04201
91,210608,明治 明治フルーツ220ml,Z-0-0,YX0000
91,210619,森永 おいしい牛乳1L,Z-0-0,AY0000
91,210929,日清ヨーク 十勝 のむヨーグルト900g,Z-0-0,AY0000
91,211792,ABインベブ ヒューガルデン ゼロ330ml,Z-0-0,Q00000
91,212069,カゴメ 野菜生活100 190g,Z-0-0,Q00000
91,212087,大塚 ポカリスエット イオンウォーター900ml,Z-0-0,Q00000
91,213211,キリン 世界のキッチンから ソルティライチ500ml,Z-0-0,YX0000
91,214194,アサヒワンダ 特製カフェオレ185g缶,Z-0-0,Q00000
91,215031,キリン 生茶 525mlペット,Z-0-0,Q00000
91,221715,森永 白銀北海道牛乳1L,Z-0-0,AY0000
91,221859,協同インターナショナル モモマイルド生ハム切り落とし120g,Z-0-0,AY0000
91,241040,MY グレナデン シロップ300ml,Z-0-0,Q00000
91,244062,森永 フレッシュC38%1L,Z-0-0,AY0000
91,244095,ナビスコ チップスターS うすしお,Z-0-0,YX0000
91,244147,ナビスコ チップスターS コンソメ45g,Z-0-0,YX0000
91,244158,ブルボンプチうす焼き36g,Z-0-0,Q00000
91,244187,ブルボンプチチョコチップ60g,Z-0-0,I00000
91,244328,ナビスコ チップスターS のりしお,Z-0-0,YX0000
91,244444,朝日のり 酒屋さんが選んでくれました80枚箱なし,Z-0-0,YX0000
91,244464,天狗 横綱あられ175g,Z-0-0,I16309
91,247096,明治 果汁グミ ぶどう54g,Z-0-0,I00000
91,247264,ロッテ のど飴11粒,Z-0-0,I00000
91,261137,キャステロ ダナブルー91g,Z-0-0,AY0000
91,261194,ジェラールセレクション ブルーチーズ125g,Z-0-0,AY0000
91,261382,森永 無塩バター 発酵450g,Z-0-0,YB8000
91,262270,月島 ラブール500g,Z-0-0,AY0000
