status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,16659,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,471,0,471,287,184,16659,2,287,184,287,0,184
updated,,17866,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,437,0,437,256,181,17866,2,256,181,256,0,181
skipped,"no active NULL/NULL pickable lot",52662,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,180,0,180,0,180,,,0,180,,,180
updated,,19859,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,552,0,552,382,170,19859,2,382,170,382,0,170
updated,,16677,145014,145014,　サッポロ　極ＺＥＲＯ３５０ｍｌ,255,0,255,111,144,16677,2,111,144,111,0,144
updated,,20496,184658,184658,　キリン　氷結　レモン３５０ｍｌ,330,0,330,190,140,20496,2,190,140,186,0,140
updated,,19148,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,453,0,453,327,126,19148,2,327,126,327,0,126
skipped,"no active NULL/NULL pickable lot",52663,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,108,0,108,0,108,,,0,108,,,108
updated,,20252,211351,211351,　ＩＢ　強炭酸水１Ｌ,313,0,313,205,108,20252,2,205,108,205,0,108
updated,,19150,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,402,0,402,296,106,19150,2,296,106,296,0,106
updated,,16874,114018,114018,◎白鶴まる　パック２Ｌ,140,0,140,38,102,16874,2,38,102,38,0,102
updated,,17869,143037,143037,◎キリンラガー５００ｍｌ,223,0,223,132,91,17869,2,132,91,132,0,91
skipped,"no active NULL/NULL pickable lot",52703,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
skipped,"no active NULL/NULL pickable lot",52700,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
updated,,17788,141037,141037,○キリン　一番搾り　中瓶５００ｍｌ,82,0,82,42,40,17788,2,42,40,42,0,40
skipped,"no active NULL/NULL pickable lot",52701,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,36,0,36,0,36,,,0,36,,,36
updated,,17793,141080,141080,　サッポロ　ラガー　大瓶６３３ｍｌ,104,0,104,72,32,17793,2,72,32,72,0,32
skipped,"no active NULL/NULL pickable lot",51610,251005,251005,　サントリー　のんある気分　梅酒サワーテイスト　紀州梅３５０ｍｌ,24,0,24,0,24,,,0,24,,,24
updated,,19841,184099,184099,　タカラ　カンチューハイ　レモン　２５０ｍｌ,94,0,94,72,22,19841,2,72,22,72,0,22
updated,,18442,286557,286557,　鮮魚丸松　超大型バナメイエビ　むきえび５００ｇ,16,0,16,1,15,18442,2,1,15,1,0,15
skipped,"no active NULL/NULL pickable lot",52702,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,12,0,12,0,12,,,0,12,,,12
updated,,17629,131074,131074,　ウィスキー　岳　７００ｍｌ,15,0,15,4,11,17629,2,4,11,4,0,11
skipped,"no active NULL/NULL pickable lot",52736,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,10,0,10,0,10,,,0,10,,,10
updated,,17018,122280,122280,○２０°いいちこ（麦）パック１．８Ｌ,18,0,18,8,10,17018,2,8,10,8,0,10
skipped,"no active NULL/NULL pickable lot",51619,246316,246316,　鮮魚丸松　北海道産　水タコ足１本,9,0,9,0,9,,,0,9,,,9
updated,,17442,121164,121164,　２５°メルシャン大喜利ペット４Ｌ,18,0,18,10,8,17442,2,10,8,10,0,8
updated,,20345,244862,244862,　尾道市ＪＡ　因島のはっさくゼリー７８ｇ,16,0,16,8,8,20345,2,8,8,8,0,8
updated,,17593,123874,123874,　２５°本格芋焼酎　さつま響ペット５Ｌ（芋）,9,0,9,1,8,17593,2,1,8,1,0,8
updated,,17719,132926,132926,　アードベッグ　１０年　ミニセレクション　１００ｍｌ,9,0,9,2,7,17719,2,2,7,2,0,7
updated,,17701,132786,132786,　アランモルト　１０年　ミニセレクション　１００ｍｌ,8,0,8,1,7,17701,2,1,7,1,0,7
updated,,20323,222289,222289,　東洋ナッツ　ミックスナッツ缶３５５ｇ,23,0,23,16,7,20323,2,16,7,16,0,7
skipped,"no active NULL/NULL pickable lot",52637,131390,131390,　ニッカ　竹鶴ピュアモルト　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52638,132939,132939,　ボウモア１２年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52230,132038,132038,　クランマクレガー　７００ｍｌ,6,0,6,0,6,,,0,6,,,6
updated,,19916,221507,221507,　早崎商店　鯖のへしこ　お刺身用,6,0,6,2,4,19916,2,2,4,2,0,4
skipped,"no active NULL/NULL pickable lot",52683,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,4,0,4,0,4,,,0,4,,,4
skipped,"no active NULL/NULL pickable lot",52639,132941,132941,　マッカラン　ダブルカスク　１２年　ミニセレクション　１００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,17700,132767,132767,　ウッドフォードリザーヴ　ミニセレクション　１００ｍｌ,4,0,4,1,3,17700,2,1,3,1,0,3
updated,,17464,122051,122051,○２５°いいちこ（麦）シルエット７２０ｍｌ,5,0,5,2,3,17464,2,2,3,2,0,3
skipped,"no active NULL/NULL pickable lot",52229,141270,141270,　金澤麦酒　ゴルトバッハ３３０ｍｌ,3,0,3,0,3,,,0,3,,,3
skipped,"no active NULL/NULL pickable lot",52636,131384,131384,　サントリー響　ブレンダーズチョイス　ミニセレクション　１００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,17786,141033,141033,　越前福井浪漫麦酒　ピルスナー　３３０ｍｌ,3,0,3,1,2,17786,2,1,2,1,0,2
updated,,17462,122049,122049,○２５°いいちこ（麦）瓶１．８Ｌ,18,0,18,16,2,17462,2,16,2,16,0,2
skipped,"no active NULL/NULL pickable lot",52226,122771,122771,　２５°猪鹿花蝶１．８Ｌ（化粧箱入）,2,0,2,0,2,,,0,2,,,2
skipped,"no active NULL/NULL pickable lot",52640,135005,135005,　マッカラン　１８年　ミニセレクション　１００ｍｌ,2,0,2,0,2,,,0,2,,,2
updated,,18038,132033,132033,　アードベッグ　ウーガダール　７００ｍｌ,2,0,2,1,1,18038,2,1,1,1,0,1
skipped,"no active NULL/NULL pickable lot",52231,132023,132023,　オールドパー　１８年　７５０ｍｌ,1,0,1,0,1,,,0,1,,,1
updated,,16670,143141,143141,　アサヒ　スーパードライ　生樽１０Ｌ,5,0,5,4,1,16670,2,4,1,4,0,1
skipped,"no active NULL/NULL pickable lot",52228,134211,134211,　マーテルＶＳ　７００ｍｌ,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52224,134092,134092,◎ヘネシーＶＳＯＰ　７００ｍｌ,1,0,1,0,1,,,0,1,,,1
updated,,17565,122775,122775,　２５°焼きいも焼酎　鬼火９００ｍｌ,3,0,3,2,1,17565,2,2,1,2,0,1
updated,,17631,131078,131078,　笹の川酒造山桜　黒ラベル７００ｍｌ,4,0,4,3,1,17631,2,3,1,3,0,1
updated,,17773,135165,135165,　グレンモーレンジ　ネクター　１６年　７００ｍｌ,2,0,2,1,1,17773,2,1,1,1,0,1
updated,,17800,141264,141264,　越の磯　いちほまれエール３３０ｍｌ,6,0,6,5,1,17800,2,5,1,5,0,1
updated,,20087,156327,156327,　クラレンドル　ブラン　シャトー　オーブリオン　７５０ｍｌ,3,0,3,2,1,20087,2,2,1,2,0,1
