status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",35779,920000,920000,部システム９２０（お肉）,17536,0,17536,0,17536,,,0,17536,,,17536
skipped,"no active NULL/NULL pickable lot",21799,400000,400000,"部システム ４００   分類打",1996,0,1996,0,1996,,,0,1996,,,1996
skipped,"no active NULL/NULL pickable lot",23792,470000,470000,　部システム４７０（化粧箱）,1048,0,1048,0,1048,,,0,1048,,,1048
dry,,48189,121183,121183,　３５°ホワイトリカー　果実酒用１．８Ｌ　紙パック,780,0,780,12,768,47782,360,12,768,12,0,768
skipped,"no active NULL/NULL pickable lot",23795,471010,471010,　一本義　７２０ｍｌ　共通カートン１枚,645,0,645,0,645,,,0,645,,,645
skipped,"no active NULL/NULL pickable lot",23797,471014,471014,　永平寺白龍　７２０ｍｌ共通カートン１枚,454,0,454,0,454,,,0,454,,,454
skipped,"no active NULL/NULL pickable lot",23800,471028,471028,　梵　７２０ｍｌ　共通カートン１枚,334,0,334,0,334,,,0,334,,,334
dry,,21793,185196,185196,　サントリー　こだわり酒場のレモンサワー５００ｍｌ,202,0,202,28,174,21767,1342,28,174,28,0,174
skipped,"no active NULL/NULL pickable lot",42461,150000,150000,部部システム１５０　分類,152,0,152,0,152,,,0,152,,,152
dry,,50477,184251,184251,　タカラ　焼酎ハイボール　レモン　５００ｍｌ,208,12,196,48,148,50034,2743,60,148,60,12,148
skipped,"no active NULL/NULL pickable lot",46251,251094,251094,　アサヒ　スタイルバランス　無糖レモンサワー２００ｍｌ,139,0,139,0,139,,,0,139,,,139
dry,,29632,211407,211407,　サンガリア　伊賀の天然水　強炭酸水５００ｍｌＰＥＴ,713,5,708,612,96,29480,2428,617,96,349,5,96
skipped,"no active NULL/NULL pickable lot",31687,211914,211914,　サントリー　天然水スパークリング５００ｍｌ,96,0,96,0,96,,,0,96,,,96
skipped,"no active NULL/NULL pickable lot",50476,184242,184242,　サントリー　角ハイボール缶　３５０ｍｌ,160,45,115,15,100,,,64,96,,,96
skipped,"no active NULL/NULL pickable lot",33621,140000,140000,"部システム １４０   分類",76,0,76,0,76,,,0,76,,,76
dry,,29611,211264,211264,　ウィルキンソン　タンサン５００ｍｌＰＥＴ,1145,79,1066,994,72,29459,2466,1073,72,1073,79,72
skipped,"no active NULL/NULL pickable lot",51498,212123,212123,　大塚　ポカリスエット　イオンウォーター５００ｍｌ,72,0,72,0,72,,,0,72,,,72
skipped,"no active NULL/NULL pickable lot",51565,210608,210608,　明治　明治フルーツ２２０ｍｌ,72,0,72,0,72,,,0,72,,,72
skipped,"no active NULL/NULL pickable lot",21797,340000,340000,　ハリカ金額管理ギフト（仕入用）,71,0,71,0,71,,,0,71,,,71
dry,,35602,112115,112115,　一本義　生貯蔵酒３００ｍｌ,756,102,654,591,63,35423,712,693,63,388,85,63
skipped,"no active NULL/NULL pickable lot",52058,212069,212069,　カゴメ　野菜生活１００　１９０ｇ,62,0,62,0,62,,,0,62,,,62
dry,,21792,185195,185195,　サントリー　こだわり酒場のレモンサワー３５０ｍｌ,107,0,107,0,107,21766,1255,46,61,46,46,61
