lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
27429,27563,210923,210923,　但馬の天然水５５０ｍｌ,ACTIVE,31144,120,,,10,291,AN103T,single_oracle_shelf,AN103T,210923000:AN103T:0:1929:36819|210923900:AN103T:::36819,skipped,already_matches,,,0,,0,0,0
37155,37402,143024,143024,◎アサヒ　スーパードライ３５０ｍｌ,ACTIVE,26105,8,,,10,468,AN101A,single_oracle_shelf,AN101A,143024000:AN101A:0:1021:34685|143024100:AN101A:::34685|143024200:AN101A:::34685|143024300:AN101A:::34685|143024900:AN101A:::34685|143024901:AN101A:::34685|143024902:AN101A::1021:34685,skipped,already_matches,,,0,,0,0,0
55908,35779,920000,920000,部システム９２０（お肉）,ACTIVE,17536,0,,,11,11,zz1,oracle_no_shelf,,920000000::0:1355:17536,skipped,oracle_no_shelf,,,0,,0,0,0
38703,38968,147003,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,ACTIVE,14760,0,,,10,463,AL105K,single_oracle_shelf,AL105K,147003000:AL105K:0:1330:17448|147003100:AL105K:::17448|147003400:AL105K:::17448|147003900:AL105K:::17448|147003901:AL105K::1330:17448,skipped,already_matches,,,0,,0,0,0
55077,51489,147066,147066,　きらやか麦３５０ｍｌ,ACTIVE,13169,0,656,50705,10,2862,AK102K,single_oracle_shelf,AK102K,147066000:AK102K:0:1290:0|147066100:AK102K:::0|147066900:AK102K:::0,skipped,already_matches,,,0,,0,0,0
38695,38958,145017,145017,　キリン　淡麗プラチナダブル３５０ｍｌ,ACTIVE,11760,0,,,10,460,AL102K,single_oracle_shelf,AL102K,145017000:AL102K:0:1330:15216|145017100:AL102K:::15216|145017900:AL102K:::15216,skipped,already_matches,,,0,,0,0,0
51307,51569,142932,142932,　アサヒ　スーパードライ　冷涼辛口３５０ｍｌ,ACTIVE,11520,0,88,2077,10,2866,A99999,single_oracle_shelf,A99999,142932000:A99999:0:1021:0|142932100::::0|142932900::::0,skipped,already_matches,,,0,,0,0,0
35451,35631,142515,142515,　福井県産六条大麦ビール　ロクムギ　ペールエール３５０ｍｌ,ACTIVE,10463,24,,,10,2671,YX0000,single_oracle_shelf,YX0000,142515000:YX0000:0:1677:10749,skipped,already_matches,,,0,,0,0,0
37146,37393,143004,143004,◎キリン麒麟淡麗＜生＞３５０ｍｌ,ACTIVE,9815,24,,,10,438,AI102K,single_oracle_shelf,AI102K,143004000:AI102K:0:1330:11400|143004100:AI102K:::11400|143004101:AI102K::1330:11400|143004200:AI102K:::11400|143004300:AI102K:::11400|143004400:AI102K:::11400|143004900:AI102K:::11400|143004901:AI102K:::11400|143004902:AI102K::1330:11400,skipped,already_matches,,,0,,0,0,0
50022,50465,184144,184144,　サントリー　金麦３５０ｍｌ,ACTIVE,8103,0,,,10,201,AN102U,single_oracle_shelf,AN102U,184144000:AN102U:0:1021:12936|184144100:AN102U:::12936|184144300:AN102U:::12936|184144900:AN102U:::12936|184144901:AN102U:::12936|184144902:AN102U:::12936,skipped,already_matches,,,0,,0,0,0
