shelf,id,floor_id
M02305,2871,10
C07202,2872,11
AW1111,2873,10
Y00000,2874,10
AWA000,2875,10
D13103,2876,10
I08111,2877,11
W06410,2878,11
H07103,2879,11
M01305,2880,10
K04205,2881,10
Z01207,2882,11
J07201,2883,10
K05303,2884,10
D12202,2885,10
B15204,2886,11
C06202,2887,11
D06103,2888,11
K03211,2889,10
F01109,2890,11
B06304,2891,11
D17101,2892,10
P11203,2893,11
G05201,2894,11
G05206,2895,11
E09202,2896,11
K07306,2897,10
B14305,2898,11
J02108,2899,11
J06311,2900,10
K09105,2901,10
N02109,2902,10
J06409,2903,10
J02110,2904,11
E06402,2905,11
H06313,2906,11
AA0010,2907,10
D05202,2908,11
AA0003,2909,10
AA0006,2910,10
B01103,2911,11
AD0000,2912,10
AE0000,2913,10
K08205,2914,10
W06309,2915,11
K08306,2916,10
M07103,2917,10
K07202,2918,10
K08203,2919,10
AG30KN,2920,10
AG30EK,2921,10
K08101,2922,10
K06301,2923,10
K05202,2924,10
K08309,2925,10
AC0011,2926,10
K08304,2927,10
C11405,2928,10
A00000,2929,10
W06114,2930,11
K07201,2931,10
K08308,2932,10
K08307,2933,10
M01101,2934,10
M01105,2935,10
I02110,2936,11
K09315,2937,10
I09121,2938,11
YBN000,2939,10
AC0010,2940,10
I07314,2941,11
E03310,2942,11
I09323,2943,11
I08102,2944,11
I03419,2945,11
I05407,2946,11
I07418,2947,11
D01106,2948,11
I09213,2949,11
I03103,2950,11
G03302,2951,11
H04202,2952,11
H06402,2953,11
H05307,2954,11
I08108,2955,11
G03218,2956,11
AG30TL,2957,10
H06110,2958,11
K05102,2959,10
K06204,2960,10
M05201,2961,10
K08103,2962,10
M05101,2963,10
M05103,2964,10
G02214,2965,11
M02208,2966,10
M07101,2967,10
M01311,2968,10
M03403,2969,10
G01103,2970,11
K09106,2971,10
G02213,2972,11
M05108,2973,10
AY1000,2974,10
C10409,2975,10
C11104,2976,10
M01408,2977,10
M05202,2978,10
M05203,2979,10
M05206,2980,10
M08109,2981,10
B14102,2982,11
K06205,2983,10
M08308,2984,10
H03206,2985,11
M07105,2986,10
AA0050,2987,10
N01105,2988,10
M06305,2989,10
R02207,2990,11
F07000,2991,11
M08312,2992,10
G03313,2993,11
B08102,2994,11
K07104,2995,10
K07303,2996,10
C11102,2997,10
C10101,2998,10
C09205,2999,11
D09205,3000,11
D11203,3001,10
M08215,3002,10
K06101,3003,10
AC0001,3004,10
K06104,3005,10
H03106,3006,11
F07102,3007,11
C10407,3008,10
C10406,3009,10
M01103,3010,10
L07103,3011,11
C10307,3012,10
F06203,3013,11
G04104,3014,11
M04204,3015,10
D16204,3016,10
D16300,3017,10
M01110,3018,10
D11104,3019,10
H08209,3020,11
M03309,3021,10
Z01206,3022,11
D14103,3023,10
K08202,3024,10
M04110,3025,10
G01403,3026,11
M07206,3027,10
G02419,3028,11
C07102,3029,11
D15307,3030,10
L09202,3031,11
M05403,3032,10
M01302,3033,10
M04101,3034,10
H08208,3035,11
M01405,3036,10
M02206,3037,10
N01103,3038,10
M03304,3039,10
M01108,3040,10
M08410,3041,10
D15300,3042,10
M05409,3043,10
M01106,3044,10
M07208,3045,10
AA0052,3046,10
AA0051,3047,10
B03102,3048,11
D10204,3049,10
D16101,3050,10
C05104,3051,11
Z00105,3052,11
B15106,3053,11
I02207,3054,11
I01406,3055,11
I10308,3056,11
I01413,3057,11
I10209,3058,11
G03307,3059,11
YB0000,3060,10
Y02200,3061,10
I01205,3062,11
I01304,3063,11
I10401,3064,11
YB2400,3065,10
I10206,3066,11
I02206,3067,11
I11410,3068,11
I10306,3069,11
