item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf
111002,111002,　黄桜春帆桜　ふくひれ酒カップ１８０ｍｌ,,,,,,,single,Q00000
111004,111004,×松竹梅澪　一果　イチゴのような香りのスパーク２１０ｍｌ,,,,,,,single,Q00000
111047,111047,　白鶴上撰淡麗純米グリーン１８０ｍｌ,,,,,,,single,Q00000
111061,111061,　白鶴大吟醸１８０ｍｌ,,,,,,,single,Q00000
111081,111081,　月桂冠生酒２８０ｍｌ,,,,,,,single,Q00000
111118,111118,○松竹梅上撰　３００ｍｌ,52131,80,80,,,,single,Q00000
111271,111271,　松竹梅祝彩　純金箔入１．８Ｌ,,,,,,,single,YX0000
111289,111289,　松竹梅　豪快　佳撰　燗徳利辛口　瓶２００ｍｌ,,,,,,,single,W07201
111385,111385,　菊正宗上撰　純米樽酒３００ｍｌ,,,,,,,single,Q00000
111397,111397,×松竹梅　澪ブリュット　辛口スパークリング３００ｍｌ,,,,,,,single,M02305
111490,111490,　松竹梅　豪快ひやおろし辛口１．８Ｌ,,,,,,,single,YX0000
111986,111986,　松竹梅白壁蔵　三谷山廃純米１．８Ｌ,,,,,,,single,Q00000
112011,112011,　一本義　限定仕込・純米大吟醸　一本義物語１．８Ｌ,,,,,,,single,YX0000
112013,112013,　花垣　大吟醸生　たれくち７２０ｍｌ,51633,-2,-2,,,,single,AW0000
112017,112017,　越前岬　純米吟醸　雪舟１．８Ｌ（カートン入）,51908,0,0,,,,single,Q00000
112025,112025,×花垣上撰　本醸造１．８Ｌ,,,,,,,single,C07202
112027,112027,　一本義　秋之純米酒　ヒヤオロシ　円熟生詰７２０ｍｌ　※直送・卸不可,,,,,,,single,YX0000
112040,112040,　加茂栄上撰１．８Ｌ,,,,,,,single,YX0000
112052,112052,　花垣生もと純米７２０ｍｌ,,,,,,,single,Q00000
112071,112071,×一本義生本醸造３００ｍｌ,51749,0,0,,,,single,AW0000
112083,112083,×一本義上撰１．８Ｌ,,,,,,,single,E01101
112094,112094,　伝心春　純米吟醸無濾過生酒１．８Ｌ　※直送・卸不可,,,,,,,single,AW0000
112111,112111,×越前岬本醸造　上撰本醸造（旧ラベル）１．８Ｌ,,,,,,,single,Q00000
112117,112117,　越前岬　大吟醸　吟の雫１．８Ｌ,51843,1,1,,,,single,Q00000
112136,112136,　伝心夏　袋吊り純米大吟醸生酒７２０ｍｌ　※直送・卸不可,,,,,,,single,AW0000
