item_code,mysql_item_id,mysql_item_name,parent_current_quantity,parent_available_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,mysql_all_shelves,issue
10001,10001,　仕入経費（仕入送料）　外税,49,49,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
10003,10003,　仕入経費（仕入送料）　内税,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
100015,1004019,　森永　フレッシュヘビィ４５,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
111056,111056,○月桂冠上撰　キャップエース１８０ｍｌ,52,52,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
111119,111119,　白鶴サケカップ　米だけのまる　純米酒２００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
111209,111209,　白鶴まる辛口カップ２００ｍｌ,30,30,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
111218,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,10,10,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
111344,111344,　白鶴　大吟醸７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
111512,111512,　月桂冠　　京山水　本醸造１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
111513,111513,　白鶴　特別純米酒　山田錦３００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
111897,111897,　大関ワンカップミニ１００ｍｌ,15,15,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112002,112002,　越の磯　一期一会　純米大吟醸３８　７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112057,112057,×常山弐の升　純米１．８Ｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112143,112143,　福千歳上撰１．８Ｌ,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112174,112174,　北の庄純米酒「長命酔」１．８Ｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112186,112186,　北の庄純米酒「長命酔」７２０ｍｌ,-8,-8,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112196,112196,　真名鶴美雨ｒｏｓｅ７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112219,112219,　真名鶴懐石本醸造　上吟１．８Ｌ,-1,-1,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112237,112237,　福千歳さくらクラシック１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112244,112244,　一乃谷金印１．８Ｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112261,112261,　小浜酒造上撰わかさ７２０ｍｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112268,112268,　華燭大吟醸７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112294,112294,　小浜酒造上撰わかさ１．８Ｌ,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112353,112353,　北の庄純米吟醸７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112363,112363,　一乃谷本醸造　勝鬼７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112381,112381,　梵　初雪　しぼりたて生原酒　山田錦７２０ｍｌ（純米大吟醸）　※卸不可,,,AWA000,,AWA00000,,AWA00000,mysql_default_not_in_oracle
112383,112383,　飛鳥井　特別純米酒７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112385,112385,　北の庄甘口の酒７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112386,112386,　雲乃井　純米酒　福雲７２０ｍｌ,4,4,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112411,112411,　小浜酒造純米わかさ７２０ｍｌ,9,9,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112418,112418,　雲乃井　純米吟醸　東雲７２０ｍｌ,8,8,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112426,112426,　一乃谷純米酒　純７２０ｍｌ,3,3,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112471,112471,　畠山酒造雪きらら　純米酒７２０ｍｌ,3,3,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112487,112487,　福千歳キュヴェ純米吟醸７２０ｍｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112495,112495,　華燭本醸造７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112539,112539,　永平寺白龍　純米酒７２０ｍｌ,11,11,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112549,112549,　永平寺白龍　純米大吟醸７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112556,112556,　一乃谷大吟醸原酒　薫７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112558,112558,　一乃谷上撰カップ１８０ｍｌ,3,3,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112568,112568,×真名鶴懐石本醸造　吟撰１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112574,112574,　鳥浜酒造若狭自慢　純米酒７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112584,112584,　鳥浜酒造　純米吟醸７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112586,112586,×真名鶴懐石本醸造　吟撰７２０ｍｌ,5,5,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112588,112588,　真名鶴山廃仕込純米酒７２０ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112599,112599,　雲乃井　純米酒　福雲１．８Ｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112624,112624,　華燭越前国府　純米酒７２０ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112651,112651,　一乃谷金印カップ１８０ｍｌ,57,57,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112678,112678,　花垣超特撰　大吟醸７２０ｍｌ,3,3,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112690,112690,　越前岬　特別純米酒　五百万石７２０ｍｌ　※２６’４月から卸可,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112692,112692,　舞美人　純米吟醸７２０ｍｌ,3,3,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112739,112739,　伝心　「土」７２０ｍｌ　※直送・卸不可,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112757,112757,　福千歳徳　山廃純米吟醸７２０ｍｌ（箱無）,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112758,112758,　福千歳円　純米酒　山廃仕込１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112759,112759,　福千歳円　山廃純米７２０ｍｌ,13,13,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112761,112761,　福千歳満　山廃本醸造７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112762,112762,　加茂栄冷酒３００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112783,112783,　游　純米吟醸　芳醇超辛口７２０ｍｌ（白龍）,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112785,112785,　游　芳醇超辛口　番外山田錦７２０ｍｌ（白龍）,11,11,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112792,112792,　飛鳥井　純米吟醸　山田錦７２０ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112807,112807,　花垣純米大吟醸　棚田米７２０ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112812,112812,　永平寺白龍　長期氷温熟成　純米大吟醸７２０ｍｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112819,112819,　関西　佳撰　生貯蔵酒３００ｍｌ,25,25,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112828,112828,　真名鶴極上純米酒　厳選素材７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112839,112839,　一乃谷純米大吟醸　稀覯７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112842,112842,　一乃谷山廃仕込み特別純米７２０ｍｌ,7,7,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
112843,112843,　一乃谷上撰７２０ｍｌ,-2,-2,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112851,112851,　富久駒一筆啓上　純米吟醸３００ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112864,112864,　舞美人山廃純米酒７２０ｍｌ,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112868,112868,　富久駒鬼作左　純米酒３００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
112882,112882,　鳥浜酒造　若狭自慢　冷酒３００ｍｌ（純米）,5,5,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112975,112975,　小浜酒造純米酒わかさ３００ｍｌ,40,40,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
113038,113038,　菊姫山廃純米７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
113137,113137,　大七　純米生もと　生原酒７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
113200,113200,　北鹿すずらぎ　生貯蔵酒７２０ｍｌ,0,0,H02001|J04103,,,,,missing_mysql_default
113213,113213,　北鹿すずらぎ　生貯蔵酒１．８Ｌ,0,0,H02002|J04104,,,,,missing_mysql_default
113517,113517,　男山生もと純米酒１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
113588,113588,　手取川　本流１．８Ｌ　※石川県内限定,8,8,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
114051,114051,　白鶴上撰　サケパック９００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
114058,114058,　白鶴米だけのまる　純米酒パック９００ｍｌ,4,4,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
114095,114095,○白鶴上撰サケパック２Ｌ,6,0,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
114096,114096,　松竹梅　上撰パック２Ｌ,,,Q00000|R03101,,,,,missing_mysql_default
114133,114133,　白鶴まる辛口パック９００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
114150,114150,　白鶴　上撰　サケカップ２００ｍｌ,60,60,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
114237,114237,　白鶴　上撰サケパック　山田錦９００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
114238,114238,　白鶴　上撰サケカップ　山田錦２００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
114246,114246,　月桂冠　糖質・プリン体Ｗゼロ　パック９００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
114288,114288,　菊正宗　上撰　さけパック　生もと辛口２Ｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
116080,116080,　清洲城　信長鬼ころし　パック１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
118201,118201,　初孫生もと純米本辛口　魔斬７２０ｍｌ（まきり）,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118412,118412,　神泉　純米大吟醸１．８Ｌ（箱無し）,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118483,118483,　黒帯特別純米　悠々１．８Ｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118599,118599,　銀盤特別純米　剱岳１．８Ｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118713,118713,　初孫生もと純米本辛口　魔斬１．８Ｌ（まきり）,4,4,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118758,118758,　神泉　大吟醸１．８Ｌ（箱有）,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
118829,118829,　竹葉能登純米１．８Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
118918,118918,　菊水　菊水の純米酒７２０ｍｌ,3,3,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
118920,118920,　名倉山　純米　Ｌａｋｅ×Ｗｈａｌｅ？　夕涼７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119016,119016,　福千歳オーク樽仕込ライスワイン７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119044,119044,　小浜酒造純米吟醸わかさ７２０ｍｌ,5,5,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119048,119048,　越前岬　純米大吟醸　さかほまれ７２０ｍｌ,-2,-2,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119049,119049,　月暈　純米大吟醸７２０ｍｌ（箱入）,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119052,119052,　北の庄　純米大吟醸　さかほまれ米７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119055,119055,　一乃谷大吟醸　さかほまれ７２０ｍｌ,0,0,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119057,119057,　福千歳純米大吟醸　さかほまれ７２０ｍｌ,-1,-1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119060,119060,　雪きらら純米大吟醸　さかほまれ７２０ｍｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119098,119098,　月暈　大吟醸７２０ｍｌ（箱入）,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119116,119116,　明乃鶴　本醸造７２０ｍｌ,4,4,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119123,119123,　梵艶　純米大吟醸１．８Ｌ,3,3,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119157,119157,　小浜酒造　大吟醸わかさ７２０ｍｌ（新）,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119168,119168,　雲乃井　純米吟醸生貯　東雲３００ｍｌ,13,13,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119171,119171,　福千歳　純米辛口　さかほまれ７２０ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119173,119173,　越の磯　一期一会　純米大吟醸３３　７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119176,119176,　越の磯　越前忘憂　純米酒７２０ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119177,119177,　越の磯　越前忘憂　純米酒３００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
