item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
10001,49,,,,Z00,mysql_location_but_oracle_no_shelf
10003,,,,Z00,,mysql_location_but_oracle_no_shelf
100015,1,,,,Z00,mysql_location_but_oracle_no_shelf
111056,52,,,Z00,Z00,mysql_location_but_oracle_no_shelf
111119,,,,Z00,,mysql_location_but_oracle_no_shelf
111209,30,,,Z00,Z00,mysql_location_but_oracle_no_shelf
111218,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
111344,,,,Z00,,mysql_location_but_oracle_no_shelf
111512,,,,Z00,,mysql_location_but_oracle_no_shelf
111513,,,,Z00,,mysql_location_but_oracle_no_shelf
111897,15,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112002,0,,,Z00,,mysql_location_but_oracle_no_shelf
112057,0,,,Z00,,mysql_location_but_oracle_no_shelf
112143,2,,,,Z00,mysql_location_but_oracle_no_shelf
112174,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112186,-8,,,Z00,,mysql_location_but_oracle_no_shelf
112196,,,,Z00,,mysql_location_but_oracle_no_shelf
112219,-1,,,Z00,,mysql_location_but_oracle_no_shelf
112237,,,,Z00,,mysql_location_but_oracle_no_shelf
112244,0,,,Z00,,mysql_location_but_oracle_no_shelf
112261,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112268,,,,Z00,,mysql_location_but_oracle_no_shelf
112294,2,,,,Z00,mysql_location_but_oracle_no_shelf
112353,0,,,Z00,,mysql_location_but_oracle_no_shelf
112363,1,,,,Z00,mysql_location_but_oracle_no_shelf
112383,,,,Z00,,mysql_location_but_oracle_no_shelf
112385,,,,Z00,,mysql_location_but_oracle_no_shelf
112386,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112411,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112418,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112426,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112471,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112487,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112495,1,,,,Z00,mysql_location_but_oracle_no_shelf
112539,11,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112549,0,,,Z00,,mysql_location_but_oracle_no_shelf
112556,1,,,,Z00,mysql_location_but_oracle_no_shelf
112558,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112568,,,,Z00,,mysql_location_but_oracle_no_shelf
112574,0,,,Z00,,mysql_location_but_oracle_no_shelf
112584,0,,,Z00,,mysql_location_but_oracle_no_shelf
112586,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112588,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112599,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112624,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112651,57,,,Z00,Z00,mysql_location_but_oracle_no_shelf
112678,3,,,,Z00,mysql_location_but_oracle_no_shelf
112690,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
