location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,999006,0,部部システム０００,52045,57419,ACTIVE,-1,0,10,10,　-　-　,　　　,　
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,51581,ACTIVE,3,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,51582,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,51724,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,52420,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,52421,ACTIVE,3,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,52543,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,52662,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,53630,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,55115,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,55124,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,55125,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,55891,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,56578,ACTIVE,30,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,56647,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,57468,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,10001,10001,　仕入経費（仕入送料）　外税,51634,57771,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
default,10003,10003,　仕入経費（仕入送料）　内税,,1091,,,,327,11,Z-0-0,Z00,デフォルト
lot,1004012,100008,OUR BREWING　キックオフ  缶,51793,57189,ACTIVE,-24,0,10,10,　-　-　,　　　,　
lot,1004018,100014,シャトーゼサール　ブラン　キュヴェプレスティージュ　　,51770,56338,DEPLETED,0,0,327,11,Z-0-0,Z00,デフォルト
lot,1004019,100015,　森永　フレッシュヘビィ４５,52128,53268,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,110000,110000,部システム １１０ ,35554,57420,ACTIVE,-1,0,10,10,　-　-　,　　　,　
default,111002,111002,　黄桜春帆桜　ふくひれ酒カップ１８０ｍｌ,,58127,,,,2495,11,Q-00-000,Q00000,Q00000
default,111004,111004,×松竹梅澪　一果　イチゴのような香りのスパーク２１０ｍｌ,,58128,,,,2495,11,Q-00-000,Q00000,Q00000
default,111010,111010,　白鶴上撰生貯蔵酒１８０ｍｌ,,15205,,,,2637,11,W-07-203,W07203,W07203
lot,111010,111010,　白鶴上撰生貯蔵酒１８０ｍｌ,35555,35380,ACTIVE,13,0,2637,11,W-07-203,W07203,W07203
default,111026,111026,　松竹梅豪快　生酒３００ｍｌ,,25038,,,,2576,11,W-05-103,W05103,W05103
lot,111026,111026,　松竹梅豪快　生酒３００ｍｌ,35556,35381,ACTIVE,67,0,2576,11,W-05-103,W05103,W05103
default,111028,111028,　松竹梅　豪快　生酒１８０ｍｌ,,21632,,,,2643,11,W-07-304,W07304,W07304
lot,111028,111028,　松竹梅　豪快　生酒１８０ｍｌ,35557,35382,ACTIVE,43,0,2643,11,W-07-304,W07304,W07304
default,111037,111037,　白鶴上撰生貯蔵酒（ねじ栓）３００ｍｌ,,49472,,,,2669,10,YC-0-000,YC0000,YC0000
lot,111037,111037,　白鶴上撰生貯蔵酒（ねじ栓）３００ｍｌ,35558,35383,ACTIVE,1,0,2669,10,YC-0-000,YC0000,YC0000
