store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,000000,000000000,,,0,,1
91,010001,010001000,,,0,0000,-68
91,010003,010003000,,,0,0000,4
91,100001,100001000,,,0,0000,0
91,110001,110001000,,,0,0000,0
91,110002,110002000,,,0,9999,0
91,110003,110003000,,,0,9999,0
91,110004,110004000,,,0,9999,0
91,110005,110005000,,,0,0000,0
91,110006,110006000,,,0,9999,0
91,110007,110007000,,,0,9999,0
91,110008,110008000,,,0,9999,0
91,110009,110009000,,,0,9999,0
91,110010,110010000,,,0,9999,0
91,110011,110011000,,,0,9999,0
91,110012,110012000,,,0,9999,0
91,110013,110013000,,,0,9999,0
91,110014,110014000,,,0,9999,0
91,110015,110015000,,,0,9999,0
91,110016,110016000,,,0,9999,0
91,110017,110017000,,,0,9999,0
91,110018,110018000,,,0,9999,0
91,110019,110019000,,,0,9999,0
91,110020,110020000,,,0,9999,0
91,110021,110021000,,,0,9999,0
91,110022,110022000,,,0,9999,0
91,110023,110023000,,,0,9999,0
91,110024,110024000,,,0,9999,0
91,111001,111001000,,,0,1202,0
91,111002,111002000,Q00000,Q00000,0,1202,0
91,111003,111003000,,,0,1385,0
91,111004,111004000,Q00000,Q00000,0,1202,0
91,111004,111004900,,,,,0
91,111005,111005000,,,0,1021,0
91,111006,111006000,,,0,1202,0
91,111007,111007000,,,0,1021,0
91,111008,111008000,,,0,1202,0
91,111008,111008900,,,,,0
91,111009,111009000,,,0,1021,0
91,111010,111010000,W07203,W07203,0,1021,13
91,111011,111011000,,,0,1330,0
91,111012,111012000,,,0,1330,0
91,111013,111013000,,,0,1021,0
91,111014,111014000,,,0,1330,0
91,111015,111015000,,,0,1202,0
91,111016,111016000,,,0,1202,0
91,111017,111017000,,,0,1021,0
91,111018,111018000,,,0,1021,0
91,111019,111019000,,,0,1002,0
91,111020,111020000,,,0,0000,0
91,111021,111021000,,,0,1202,0
91,111022,111022000,,,0,1330,0
91,111023,111023000,,,0,1021,0
91,111024,111024000,,,0,1021,0
91,111025,111025000,,,0,1330,0
91,111026,111026000,W05103,W05103,0,1202,87
91,111027,111027000,,,0,0000,0
91,111028,111028000,W07304,W07304,0,1202,43
91,111029,111029000,,,0,1330,0
91,111030,111030000,,,0,1202,0
91,111031,111031000,,,0,1202,0
91,111032,111032000,,,0,1021,0
91,111033,111033000,,,0,1202,0
91,111034,111034000,,,0,1202,0
91,111035,111035000,,,0,1330,0
91,111036,111036000,,,0,1330,0
91,111037,111037000,YC0000,YC0000,0,1021,2
91,111037,111037100,YC0000,YC0000,,1021,2
91,111037,111037200,YC0000,YC0000,,1021,2
91,111037,111037900,YC0000,YC0000,,1021,2
91,111037,111037950,YC0000,YC0000,,1021,2
91,111038,111038000,,,0,1330,0
91,111039,111039000,,,0,1021,0
91,111040,111040000,,,0,1202,0
91,111041,111041000,,,0,1202,0
91,111041,111041001,,,0,1202,0
91,111042,111042000,,,0,1202,0
91,111043,111043000,,,0,1021,0
91,111044,111044000,,,0,0000,0
91,111045,111045000,,,0,1330,0
91,111045,111045100,,,,,0
91,111045,111045200,,,,,0
91,111045,111045900,,,,,0
91,111046,111046000,,,0,0000,0
91,111047,111047000,Q00000,Q00000,0,1021,0
91,111048,111048000,E06109,E06109,0,1330,6
91,111048,111048001,E06109,E06109,,1330,6
91,111048,111048002,E06109,E06109,,1330,6
91,111048,111048010,E06109,E06109,,,6
91,111048,111048100,E06109,E06109,,,6
91,111048,111048200,E06109,E06109,,,6
91,111048,111048900,E06109,E06109,,,6
91,111048,111048901,E06109,E06109,,,6
91,111049,111049000,,,0,1021,0
91,111050,111050000,,,0,1330,0
91,111051,111051000,,,0,1330,0
91,111052,111052000,,,0,0000,0
91,111053,111053000,,,0,1012,0
91,111054,111054000,,,0,1021,0
91,111055,111055000,H05318,H05318,0,1202,7
91,111055,111055900,H05318,H05318,,,7
91,111056,111056000,,,0,1330,52
91,111056,111056100,,,,,52
91,111056,111056900,,,,,52
91,111057,111057000,,,0,1330,0
91,111058,111058000,,,0,1202,0
91,111059,111059000,,,0,1330,0
91,111060,111060000,,,0,1761,0
91,111061,111061000,Q00000,Q00000,0,1021,0
91,111062,111062000,,,0,0000,0
91,111063,111063000,,,0,1021,0
91,111064,111064000,,,0,0000,0
91,111065,111065000,,,0,1330,0
91,111066,111066000,,,0,1021,0
91,111066,111066001,,,0,1021,0
91,111066,111066900,,,,,0
91,111067,111067000,,,0,1021,0
91,111068,111068000,,,0,1330,0
91,111069,111069000,,,0,1202,0
91,111070,111070000,,,0,1202,0
91,111071,111071000,,,0,1330,0
91,111072,111072000,,,0,1202,0
91,111073,111073000,,,0,1330,0
91,111074,111074000,,,0,0000,0
91,111075,111075000,,,0,1021,0
91,111076,111076000,,,0,0000,0
91,111077,111077000,,,0,9999,0
91,111078,111078000,AW0000,AW0000,0,1021,18
91,111079,111079000,,,0,1330,0
91,111081,111081000,Q00000,Q00000,0,1330,0
91,111082,111082000,,,0,1330,0
91,111083,111083000,,,0,1021,0
91,111084,111084000,,,0,1202,0
91,111085,111085000,,,0,1330,0
91,111086,111086000,,,0,1202,0
91,111087,111087000,,,0,0000,0
91,111088,111088000,,,0,1021,0
91,111089,111089000,,,0,1761,0
91,111090,111090000,,,0,1202,0
91,111091,111091000,,,0,1021,0
91,111092,111092000,,,0,1021,0
91,111093,111093000,,,0,1021,0
91,111093,111093010,,,,1021,0
91,111094,111094000,,,0,1202,0
91,111095,111095000,,,0,1021,0
91,111095,111095100,,,,,0
91,111095,111095200,,,,,0
91,111095,111095900,,,,,0
91,111096,111096000,,,0,1202,0
91,111097,111097000,,,0,1021,0
