status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_item_not_found,01,1,130000,部システム １３０ ,17614,1,1,17614,1,0,1,,,2,ZZ1100,,,
oracle_item_not_found,01,1,140000,部システム １４０   分類,17779,334,334,17779,334,0,334,,,2,ZZ1100,,,
oracle_item_not_found,01,1,250000,部システム ２５０ ,20378,1,1,20378,1,0,1,,,2,ZZ1100,,,
oracle_item_not_found,01,1,260000,部システム ２６０ ,20628,4,4,20628,4,0,4,,,2,ZZ1100,,,
oracle_item_not_found,01,1,430000,部部システム４３０,6895,1,1,6895,1,0,1,,,2,ZZ1100,,,
oracle_item_not_found,01,1,470000,　部システム４７０（化粧箱）,7719,6060,6060,7719,6060,0,6060,,,2,ZZ1100,,,
oracle_item_not_found,02,2,10001,　仕入経費（仕入送料）　外税,52064,2,2,52680,2,0,2,418,14003,2709,Z00,,,
oracle_item_not_found,02,2,140000,部システム １４０   分類,11760,751,751,11760,751,0,751,,,8,ZZ1100,,,
oracle_item_not_found,02,2,230000,部システム ２３０ ,9661,-1,-1,9661,-1,0,-1,,,8,ZZ1100,,,
oracle_item_not_found,02,2,260000,部システム ２６０ ,9690,-690,-690,9690,-690,0,-690,,,8,ZZ1100,,,
oracle_item_not_found,02,2,430000,部部システム４３０,8883,-27,-27,8883,-27,0,-27,,,8,ZZ1100,,,
oracle_item_not_found,02,2,470000,　部システム４７０（化粧箱）,8904,2799,2799,8904,2799,0,2799,,,8,ZZ1100,,,
oracle_item_not_found,03,3,10001,　仕入経費（仕入送料）　外税,52562,1,1,55463,1,0,1,724,51585,328,Z00,,,
oracle_item_not_found,03,3,140000,部システム １４０   分類,85,609,609,85,609,0,609,,,17,ZZ1100,,,
oracle_item_not_found,03,3,260000,部システム ２６０ ,9990,-1,-1,9990,-1,0,-1,,,17,ZZ1100,,,
oracle_item_not_found,03,3,470000,　部システム４７０（化粧箱）,5987,2868,2868,5987,2868,0,2868,,,17,ZZ1100,,,
oracle_item_not_found,04,4,140000,部システム １４０   分類,9292,5719,5719,9292,5719,0,5719,,,14,ZZ1100,,,
oracle_item_not_found,04,4,470000,　部システム４７０（化粧箱）,14128,3139,3139,14128,3139,0,3139,,,14,ZZ1100,,,
oracle_item_not_found,07,7,140000,部システム １４０   分類,16350,2073,2073,16350,2073,0,2073,,,16,ZZ1100,,,
oracle_item_not_found,07,7,470000,　部システム４７０（化粧箱）,27761,4271,4271,27626,4271,0,4271,,,16,ZZ1100,,,
oracle_item_not_found,08,8,140000,部システム １４０   分類,35932,3343,3343,35696,3343,0,3343,,,5,ZZ1100,,,
oracle_item_not_found,08,8,260000,部システム ２６０ ,43008,1,1,42675,1,0,1,,,5,ZZ1100,,,
oracle_item_not_found,08,8,430000,部部システム４３０,34184,10,10,34010,10,0,10,,,5,ZZ1100,,,
oracle_item_not_found,08,8,450000,部システム４５０,34185,-11,-11,34011,-11,0,-11,,,5,ZZ1100,,,
oracle_item_not_found,08,8,470000,　部システム４７０（化粧箱）,36075,6883,6883,35839,6883,0,6883,,,5,ZZ1100,,,
oracle_item_not_found,09,9,140000,部システム １４０   分類,36102,496,496,35866,496,0,496,,,13,ZZ1100,,,
oracle_item_not_found,09,9,170000,部システム １７０ ,28159,-89,-89,28024,-89,0,-89,,,13,ZZ1100,,,
oracle_item_not_found,09,9,420000,　雑種,22435,1,1,22394,1,0,1,,,13,ZZ1100,,,
oracle_item_not_found,09,9,430000,部部システム４３０,22436,1,1,22395,1,0,1,,,13,ZZ1100,,,
oracle_item_not_found,09,9,470000,　部システム４７０（化粧箱）,24431,3969,3969,24352,3969,0,3969,,,13,ZZ1100,,,
oracle_item_not_found,10,10,10001,　仕入経費（仕入送料）　外税,52480,2,2,55042,2,0,2,640,50511,326,Z00,,,
oracle_item_not_found,10,10,120000,部システム １２０ ,45094,30,30,44725,30,0,30,,,15,ZZ1100,,,
