status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,lot,122489,　２５°かのか１．８Ｌ瓶（混和麦）,91,21592,5,0,893,E06112,E06112,E06112,122489000:E06112:0:1021
match,lot,122490,　２５°七夕（芋）９００ｍｌ,91,21593,18,0,591,B15301,B15301,B15301,122490000:B15301:0:1202
match,lot,122491,　２５°七夕（芋）１．８Ｌ,91,21594,12,0,2511,R02201,R02201,R02201,122491000:R02201:0:1202
match,lot,122492,　２５°黒丸（芋）７２０ｍｌ,91,21595,1,0,948,E07211,E07211,E07211,122492000:E07211:0:1021
match,lot,122496,　２５°村正（麦）７２０ｍｌ,91,21596,37,0,617,C03101,C03101,C03101,122496000:C03101:0:1283
match,lot,122497,　２５°なでしこ（麦）７２０ｍｌ,91,21597,12,0,1710,H05309,H05309,H05309,122497000:H05309:0:1283
match,lot,122500,　２５°里の曙（黒糖）７２０ｍｌ,91,21598,11,0,1582,G08418,G08418,G08418,122500000:G08418:0:1021
match,lot,122511,　２５°米焼酎　２９（にじゅうきゅう）７２０ｍｌ,91,21599,5,0,1715,H05315,H05315,H05315,122511000:H05315:0:1002
match,lot,122515,　２５°大石長一郎秘酒　琥珀熟成７２０ｍｌ,91,21600,11,0,1767,H06304,H06304,H06304,122515000:H06304:0:1138
match,lot,122522,　４０°限定　夢想仙楽７２０ｍｌ（麦）,91,21601,21,0,506,B03301,B03301,B03301,122522000:B03301:0:1048
match,lot,122522,　４０°限定　夢想仙楽７２０ｍｌ（麦）,91,56522,-12,0,506,B03301,B03301,B03301,122522000:B03301:0:1048
match,lot,122523,　２５°浪漫の大地（麦）パック１．８Ｌ,91,21602,127,0,2536,R07201,R07201,R07201,122523000:R07201:0:1202|122523900:R07201::
match,lot,122526,　３０°残波ブラック（泡盛）１．８Ｌ,91,21603,13,0,2423,L10201,L10201,L10201,122526000:L10201:0:1202|122526900:L10201::
match,lot,122527,　２５°あらわざ桜島７２０ｍｌ（芋）,91,21604,19,0,1142,F01207,F01207,F01207,122527000:F01207:0:1330
match,lot,122531,　３０°残波ブラック（泡盛）７２０ｍｌ,91,21605,14,0,598,B16301,B16301,B16301,122531000:B16301:0:1202|122531900:B16301::
match,lot,122534,　４０°一本義　酒粕焼酎「カラサワ　ノ　カストリ」,91,21606,8,0,2671,YX0000,YX0000,YX0000,122534000:YX0000:0:1202
match,lot,122538,　２５°一本義　カストリ焼酎クラシック７２０ｍｌ,91,21607,27,0,555,B08206,B08206,B08206,122538000:B08206:0:1202
match,lot,122542,　２５°黒麹仕込薩摩（芋）７２０ｍｌ,91,21608,5,0,917,E06309,E06309,E06309,122542000:E06309:0:1014
match,lot,122559,　２５°銀風（米）７２０ｍｌ,91,21609,4,0,958,E07308,E07308,E07308,122559000:E07308:0:1021
match,lot,122562,　２５°浪漫の大地（そば）１．８Ｌパック,91,21610,75,0,2542,R11203,R11203,R11203,122562000:R11203:0:1202|122562900:::
match,lot,122563,　２５°浪漫の大地（こめ）１．８Ｌパック,91,21611,6,0,2541,R11202,R11202,R11202,122563000:R11202:0:1202|122563900:R11202::
match,lot,122567,　２０°限定品　甕雫９００ｍｌ（芋）,91,21612,12,0,1805,H08201,H08201,H08201,122567000:H08201:0:1550
match,lot,122578,　２５°黒壱（芋）７２０ｍｌ,91,21613,42,0,539,B06206,B06206,B06206,122578000:B06206:0:1290
match,lot,122579,　２５°黒壱（芋）１．８Ｌ,91,21614,24,0,1224,F04102,F04102,F04102,122579000:F04102:0:1290
match,lot,122584,　２０°限定品　甕雫１．８Ｌ（芋）,91,21615,5,0,2358,I17203,I17203,I17203,122584000:I17203:0:1550
match,lot,122585,　２５°赤霧島９００ｍｌ（芋）,91,21616,18,0,536,B06203,B06203,B06203,122585000:B06203:0:1021
match,lot,122591,　２５°海童　赤（芋）７２０ｍｌ,91,21617,12,0,514,B04204,B04204,B04204,122591000:B04204:0:1202
match,lot,122595,　２５°黒島美人１．８Ｌ（芋）,91,21618,9,0,2529,R04203,R04203,R04203,122595000:R04203:0:1021
match,lot,122599,　２５°つるつるいっぱい１．８Ｌ（麦）瓶,91,21619,5,0,519,B05101,B05101,B05101,122599000:B05101:0:1014
match,lot,122599,　２５°つるつるいっぱい１．８Ｌ（麦）瓶,91,56648,6,0,519,B05101,B05101,B05101,122599000:B05101:0:1014
match,lot,122603,　２５°つるつるいっぱい９００ｍｌ（麦）瓶,91,21620,40,-1,2415,L09203,L09203,L09203,122603000:L09203:0:1014
match,lot,122605,　２５°白水９００ｍｌ（米）,91,21621,3,0,910,E06302,E06302,E06302,122605000:E06302:0:1330
match,lot,122611,　２５°鉄幹　黒（芋）９００ｍｌ,91,21622,2,0,896,E06201,E06201,E06201,122611000:E06201:0:1021
match,lot,122616,　２５°美ら島（泡盛）７２０ｍｌ,91,21623,3,0,1173,F02108,F02108,F02108,122616000:F02108:0:1021
match,lot,122617,　２５°黒よかいち　芋７２０ｍｌ　瓶,91,21624,24,0,642,C05206,C05206,C05206,122617000:C05206:0:1202|122617900:::
match,lot,122630,　２５°なんこペット２．７Ｌ（芋）,91,21625,4,0,1465,G05205,G05205,G05205,122630000:G05205:0:1021
match,lot,122632,　２５°残波（泡盛）１．８Ｌ,91,21626,7,0,2520,R03201,R03201,R03201,122632000:R03201:0:1202|122632900:::
match,lot,122633,　２５°島唄７２０ｍｌ（泡盛）,91,21627,26,0,2485,P15203,P15203,P15203,122633000:P15203:0:1202|122633900:P15203::
match,lot,122634,　２５°島唄１．８Ｌ（泡盛）,91,21628,18,0,2502,R01202,R01202,R01202,122634000:R01202:0:1202
match_one_of_multiple,lot,122646,　２５°黒霧島（芋）パック１．８Ｌ,91,21629,16,0,2727,L11203,J03104|L11203,J03104|L11203,122646000:L11203:0:1021|122646001:J03104::|122646100:::|122646900:J03104::
match_one_of_multiple,lot,122646,　２５°黒霧島（芋）パック１．８Ｌ,91,51079,2,0,2727,L11203,J03104|L11203,J03104|L11203,122646000:L11203:0:1021|122646001:J03104::|122646100:::|122646900:J03104::
match,lot,122656,　２７°一刻者赤　石蔵甕貯蔵陶器入７２０ｍｌ（芋）,91,21630,6,0,934,E07108,E07108,E07108,122656000:E07108:0:1202
match,lot,122662,　２５°安心院蔵９００ｍｌ,91,21631,3,0,1020,E09205,E09205,E09205,122662000:E09205:0:1202
match,lot,122667,　２５°天使のささやきパック１．８Ｌ,91,21632,3,0,1021,E09206,E09206,E09206,122667000:E09206:0:1021
match,lot,122678,　２５°村正１．８Ｌ（麦）,91,21633,19,0,1001,E08310,E08310,E08310,122678000:E08310:0:1283
