status,source,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,ref_count,total_current,total_available,oracle_products
manual_multiple_oracle_shelves,lot,212069,　カゴメ　野菜生活１００　１９０ｇ,Z00,N01101|Q00000,N01101|Q00000,1,62,62,212069000:Q00000:0:1202|212069100:N01101::|212069900:N01101::
manual_multiple_oracle_shelves,lot,214194,　アサヒワンダ　特製カフェオレ１８５ｇ缶,Z00,H08202|Q00000,H08202|Q00000,1,30,0,214194000:Q00000:0:1106|214194100:H08202::|214194900:H08202::
match,default,111010,　白鶴上撰生貯蔵酒１８０ｍｌ,W07203,W07203,W07203,1,0,0,111010000:W07203:0:1021
match,default,111026,　松竹梅豪快　生酒３００ｍｌ,W05103,W05103,W05103,1,0,0,111026000:W05103:0:1202
match,default,111028,　松竹梅　豪快　生酒１８０ｍｌ,W07304,W07304,W07304,1,0,0,111028000:W07304:0:1202
match,default,111037,　白鶴上撰生貯蔵酒（ねじ栓）３００ｍｌ,YC0000,YC0000,YC0000,1,0,0,111037000:YC0000:0:1021|111037100:YC0000::1021|111037200:YC0000::1021|111037900:YC0000::1021|111037950:YC0000::1021
match,default,111048,　月桂冠上撰　瓶１．８Ｌ,E06109,E06109,E06109,1,0,0,111048000:E06109:0:1330|111048001:E06109::1330|111048002:E06109::1330|111048010:E06109::|111048100:E06109::|111048200:E06109::|111048900:E06109::|111048901:E06109::
match,default,111055,　松竹梅澪　スパークリング３００ｍｌ,H05318,H05318,H05318,1,0,0,111055000:H05318:0:1202|111055900:H05318::
match,default,111078,　大関生貯蔵酒１８０ｍｌ,AW0000,AW0000,AW0000,1,0,0,111078000:AW0000:0:1021
match,default,111106,○日本盛上撰１．８Ｌ,F01105,F01105,F01105,1,0,0,111106000:F01105:0:1202|111106001:F01105:0:1202
match,default,111116,　松竹梅　上撰１．８Ｌ,P11102,P11102,P11102,1,0,0,111116000:P11102:0:1202|111116001:P11102::1202|111116002:P11102::1202|111116100:P11102::|111116101:P11102::1202|111116102:::1202|111116200:P11102::|111116201:P11102::1202|111116900:P11102::|111116901:P11102::1202
match,default,111120,　松竹梅澪　スパークリング１５０ｍｌ,B08104,B08104,B08104,1,0,0,111120000:B08104:0:1202|111120900:::
match,default,111121,　松竹梅澪　スパークリング７５０ｍｌ,E09316,E09316,E09316,1,0,0,111121000:E09316:0:1202|111121900:E09316::
match,default,111130,○菊正宗上撰　瓶１．８Ｌ,E10103,E10103,E10103,1,0,0,111130000:E10103:0:1202|111130001:::1202|111130900:::
match,default,111172,　大関ワンカップジャンボ３００ｍｌ,YC0000,YC0000,YC0000,1,0,0,111172000:YC0000:0:1021
match,default,111177,　白鹿　黒松白鹿　上撰超辛本醸　プリント瓶１８０ｍｌ（串カツ田中様）,D06203,D06203,D06203,1,0,0,111177000:D06203:0:1021
match,default,111194,　松竹梅上撰　豪快１．８Ｌ,F02210,F02210,F02210,1,0,0,111194000:F02210:0:1202
match,default,111239,　富久娘上撰１．８Ｌ,Z01102,Z01102,Z01102,1,0,0,111239000:Z01102:0:1330|111239100:::|111239200:::|111239300:::|111239900:::
match,default,111248,　松竹梅佳撰　豪快１．８Ｌ,W08101,W08101,W08101,1,0,0,111248000:W08101:0:1202
match,default,111299,　白鶴　輝　黒ラベル　淡麗辛口１．８Ｌ,G06105,G06105,G06105,1,0,0,111299000:G06105:0:1021
match,default,111338,　松竹梅　「昴」　生貯蔵酒３００ｍｌ,E09208,E09208,E09208,1,0,0,111338000:E09208:0:1202
match,default,111340,　松竹梅　澪ＣＬＥＡＲ　スパークリング３００ｍｌ,E10216,E10216,E10216,1,0,0,111340000:E10216:0:1202
match,default,111341,　松竹梅　澪ＣＬＥＡＲ　スパークリング１５０ｍｌ,E06208,E06208,E06208,1,0,0,111341000:E06208:0:1202
match,default,111354,　月桂冠エコカップ　つき２１０ｍｌ,YC0000,YC0000,YC0000,1,0,0,111354000:YC0000:0:1330
match,default,111396,　月桂冠生酒１８０ｍｌ,L18306,L18306,L18306,1,0,0,111396000:L18306:0:1330
match,default,111421,　松竹梅豪快　上撰　プリント瓶１８０ｍｌ,W05205,W05205,W05205,1,0,0,111421000:W05205:0:1202
match,default,111422,　白雪丹波伝承仕込１．８Ｌ,E06207,E06207,E06207,1,0,0,111422000:E06207:0:1202
match,default,111469,　大関　辛丹波　にごり７２０ｍｌ,E09310,E09310,E09310,1,0,0,111469000:E09310:0:1021
match,default,111470,　大関　上撰　辛丹波　生貯蔵７２０ｍｌ,E08107,E08107,E08107,1,0,0,111470000:E08107:0:1021
match,default,111471,　白鶴　ハクツルブラン７２０ｍｌ,F01317,F01317,F01317,1,0,0,111471000:F01317:0:1021
match,default,111477,　京舞妓　生貯蔵酒３００ｍｌ,R02206,R02206,R02206,1,0,0,111477000:R02206:0:1202
match,default,112001,　花垣特撰　大吟醸１．８Ｌ,E06206,E06206,E06206,1,0,0,112001000:E06206:0:1370
match,default,112018,　越前岬　蔵出し本醸造１．８Ｌ,F07105,F07105,F07105,1,0,0,112018000:F07105:0:1460
