lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
51307,51569,142932,142932,　アサヒ　スーパードライ　冷涼辛口３５０ｍｌ,ACTIVE,11520,0,88,2077,,327,Z00,single_oracle_shelf,A99999,142932000:A99999:0:1021:0|142932100::::0|142932900::::0,planned,,,yes,0,,0,0,0
51308,51570,142933,142933,　アサヒ　スーパードライ　冷涼辛口５００ｍｌ,ACTIVE,2976,0,88,2078,,327,Z00,single_oracle_shelf,A99999,142933000:A99999:0:1021:0|142933100::::0|142933900::::0,planned,,,yes,0,,0,0,0
51275,51563,142642,142642,　サントリー　パーフェクトサントリービール　エールビール３５０ｍｌ,ACTIVE,2208,0,78,1993,,327,Z00,oracle_no_shelf,,142642000::0:1021:0|142642100::::0|142642900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
55909,21799,400000,400000,部システム ４００   分類打,ACTIVE,1996,0,,,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
55910,23792,470000,470000,　部システム４７０（化粧箱）,ACTIVE,1048,0,,,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
51276,51564,142643,142643,　サントリー　パーフェクトサントリービール　エールビール５００ｍｌ,ACTIVE,624,0,78,1994,,327,Z00,oracle_no_shelf,,142643000::0:1021:0|142643100::::0|142643900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
56660,51831,112788,112788,　福千歳冷酒３００ｍｌ,ACTIVE,348,0,856,53436,10,327,Z00,single_oracle_shelf,G05402,112788000:G05402:0:1512:0,planned,,,yes,0,,0,0,0
56638,52813,244081,244081,　小山製麺　焼肉専門店　盛岡冷麺３７０ｇ,ACTIVE,240,0,844,53360,10,327,Z00,oracle_no_shelf,,244081000::0:1660:0,skipped,oracle_no_shelf,,,0,,0,0,0
51306,51568,141336,141336,　アサヒ　スーパードライ　冷涼辛口　中瓶５００ｍｌ,ACTIVE,220,0,88,2076,,327,Z00,oracle_no_shelf,,141336000::0:1021:0|141336900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
56670,52820,119729,119729,　若鹿　上撰１８０ｍｌ　スリム瓶　※レトロ代替,ACTIVE,120,0,859,53495,10,327,Z00,oracle_no_shelf,,119729000::0:1539:0,skipped,oracle_no_shelf,,,0,,0,0,0
55865,52613,156876,156876,　コセチャ　カベルネソービニヨン　７５０ｍｌ,ACTIVE,120,0,758,52156,10,327,Z00,oracle_no_shelf,,156876000::0:1002:0,skipped,oracle_no_shelf,,,0,,0,0,0
55866,52614,156899,156899,　コセチャ　メルロ　７５０ｍｌ,ACTIVE,120,0,758,52157,10,327,Z00,oracle_no_shelf,,156899000::0:1002:0,skipped,oracle_no_shelf,,,0,,0,0,0
