status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51581,3,0,3,149,9572,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51582,1,0,1,149,9573,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51724,1,0,1,192,9850,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52420,1,0,1,374,12646,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52421,3,0,3,374,12647,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52543,1,0,1,390,13326,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52662,1,0,1,413,13940,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,53630,1,0,1,523,27078,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55115,1,0,1,677,50840,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55124,1,0,1,680,50849,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55125,1,0,1,681,50850,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55891,1,0,1,769,52206,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,56578,30,0,30,827,53290,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,56647,1,0,1,849,53379,327,Z00,,,
oracle_item_not_found,91,91,100015,　森永　フレッシュヘビィ４５,52128,1,1,53268,1,0,1,460,26398,327,Z00,,,
match,91,91,111010,　白鶴上撰生貯蔵酒１８０ｍｌ,35555,13,13,35380,13,0,13,,,2637,W07203,W07203,W07203,111010000:W07203:0:1021:13
match,91,91,111026,　松竹梅豪快　生酒３００ｍｌ,35556,67,67,35381,67,0,67,,,2576,W05103,W05103,W05103,111026000:W05103:0:1202:87
match,91,91,111028,　松竹梅　豪快　生酒１８０ｍｌ,35557,43,43,35382,43,0,43,,,2643,W07304,W07304,W07304,111028000:W07304:0:1202:43
match,91,91,111037,　白鶴上撰生貯蔵酒（ねじ栓）３００ｍｌ,35558,1,1,35383,1,0,1,,,2669,YC0000,YC0000,YC0000,111037000:YC0000:0:1021:2|111037100:YC0000::1021:2|111037200:YC0000::1021:2|111037900:YC0000::1021:2|111037950:YC0000::1021:2
match,91,91,111048,　月桂冠上撰　瓶１．８Ｌ,35559,6,6,35384,6,0,6,,,890,E06109,E06109,E06109,111048000:E06109:0:1330:6|111048001:E06109::1330:6|111048002:E06109::1330:6|111048010:E06109:::6|111048100:E06109:::6|111048200:E06109:::6|111048900:E06109:::6|111048901:E06109:::6
match,91,91,111055,　松竹梅澪　スパークリング３００ｍｌ,35560,16,14,35385,4,2,2,,,1718,H05318,H05318,H05318,111055000:H05318:0:1202:7|111055900:H05318:::7
match,91,91,111055,　松竹梅澪　スパークリング３００ｍｌ,35560,16,14,56563,12,0,12,820,53272,1718,H05318,H05318,H05318,111055000:H05318:0:1202:7|111055900:H05318:::7
oracle_no_shelf,91,91,111056,○月桂冠上撰　キャップエース１８０ｍｌ,35561,52,52,55928,52,0,52,,,11,zz1,,,111056000::0:1330:52|111056100::::52|111056900::::52
match,91,91,111078,　大関生貯蔵酒１８０ｍｌ,35562,17,17,35386,17,0,17,,,471,AW0000,AW0000,AW0000,111078000:AW0000:0:1021:18
match_one_of_multiple,91,91,111099,○白鶴上撰　瓶１．８Ｌ,35563,31,25,35387,31,6,25,,,2713,D07101,D07101|YC0000,D07101|YC0000,111099000:D07101:0:1021:51|111099001:YC0000::1021:51|111099100:YC0000:::51|111099200:YC0000:::51|111099900:YC0000:::51|111099901:YC0000:0:1021:51
