status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_no_shelf,91,91,111056,○月桂冠上撰　キャップエース１８０ｍｌ,35561,52,52,55928,52,0,52,,,11,zz1,,,111056000::0:1330:52|111056100::::52|111056900::::52
oracle_no_shelf,91,91,111209,　白鶴まる辛口カップ２００ｍｌ,35571,30,30,55948,30,0,30,,,11,zz1,,,111209000::0:1021:30|111209900::::30
oracle_no_shelf,91,91,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,35572,10,10,56034,10,0,10,,,11,zz1,,,111218000::0:1202:10|111218200::::10|111218900::::10
oracle_no_shelf,91,91,111897,　大関ワンカップミニ１００ｍｌ,35587,15,15,55987,15,0,15,,,11,zz1,,,111897000::0:1021:15
oracle_no_shelf,91,91,112143,　福千歳上撰１．８Ｌ,51827,2,2,52250,2,0,2,328,12161,327,Z00,,,112143000::0:1512:0
oracle_no_shelf,91,91,112174,　北の庄純米酒「長命酔」１．８Ｌ,51822,1,1,52242,1,0,1,325,12151,11,zz1,,,112174000::0:1539:0
oracle_no_shelf,91,91,112261,　小浜酒造上撰わかさ７２０ｍｌ,37345,1,1,56281,1,0,1,,,11,zz1,,,112261000::0:1694:1
oracle_no_shelf,91,91,112294,　小浜酒造上撰わかさ１．８Ｌ,37352,2,2,56115,2,0,2,,,327,Z00,,,112294000::0:1694:5|112294800::::5|112294900::::5
oracle_no_shelf,91,91,112353,　北の庄純米吟醸７２０ｍｌ,51825,0,0,56671,1,0,1,860,53496,11,zz1,,,112353000::0:1539:0
oracle_no_shelf,91,91,112363,　一乃谷本醸造　勝鬼７２０ｍｌ,51802,1,1,52150,1,0,1,296,11991,327,Z00,,,112363000::0:1572:0
oracle_no_shelf,91,91,112386,　雲乃井　純米酒　福雲７２０ｍｌ,37366,4,4,56145,4,0,4,,,11,zz1,,,112386000::0:1543:4
oracle_no_shelf,91,91,112411,　小浜酒造純米わかさ７２０ｍｌ,37369,9,9,56007,9,0,9,,,11,zz1,,,112411000::0:1694:12
oracle_no_shelf,91,91,112418,　雲乃井　純米吟醸　東雲７２０ｍｌ,37372,8,8,56052,8,0,8,,,11,zz1,,,112418000::0:1543:8
oracle_no_shelf,91,91,112426,　一乃谷純米酒　純７２０ｍｌ,37375,3,3,56219,2,0,2,,,11,zz1,,,112426000::0:1572:5
oracle_no_shelf,91,91,112426,　一乃谷純米酒　純７２０ｍｌ,37375,3,3,56643,1,0,1,847,53372,11,zz1,,,112426000::0:1572:5
oracle_no_shelf,91,91,112471,　畠山酒造雪きらら　純米酒７２０ｍｌ,37382,3,3,56176,3,0,3,,,11,zz1,,,112471000::0:1202:3
oracle_no_shelf,91,91,112487,　福千歳キュヴェ純米吟醸７２０ｍｌ,51829,1,1,52252,1,0,1,328,12163,11,zz1,,,112487000::0:1512:0
oracle_no_shelf,91,91,112495,　華燭本醸造７２０ｍｌ,51736,1,1,56335,1,0,1,,,327,Z00,,,112495000::0:1021:0
oracle_no_shelf,91,91,112539,　永平寺白龍　純米酒７２０ｍｌ,38894,11,11,55992,11,0,11,,,11,zz1,,,112539000::0:1263:14
oracle_no_shelf,91,91,112556,　一乃谷大吟醸原酒　薫７２０ｍｌ,51803,1,1,52152,1,0,1,296,11993,327,Z00,,,112556000::0:1572:0
oracle_no_shelf,91,91,112558,　一乃谷上撰カップ１８０ｍｌ,38896,3,3,56178,3,0,3,,,11,zz1,,,112558000::0:1572:3
oracle_no_shelf,91,91,112586,×真名鶴懐石本醸造　吟撰７２０ｍｌ,38901,5,5,56116,5,0,5,,,11,zz1,,,112586000::0:1679:5
oracle_no_shelf,91,91,112588,　真名鶴山廃仕込純米酒７２０ｍｌ,51561,2,2,52125,2,0,2,288,11911,11,zz1,,,112588000::0:1679:0
oracle_no_shelf,91,91,112599,　雲乃井　純米酒　福雲１．８Ｌ,51500,1,1,52333,1,0,1,350,12294,11,zz1,,,112599000::0:1543:0
oracle_no_shelf,91,91,112624,　華燭越前国府　純米酒７２０ｍｌ,38908,2,2,56220,2,0,2,,,11,zz1,,,112624000::0:1021:2
oracle_no_shelf,91,91,112651,　一乃谷金印カップ１８０ｍｌ,38913,57,57,55926,57,0,57,,,11,zz1,,,112651000::0:1572:57
oracle_no_shelf,91,91,112690,　越前岬　特別純米酒　五百万石７２０ｍｌ　※２６’４月から卸可,51844,1,1,52386,1,0,1,361,12487,11,zz1,,,112690000::0:1460:0
oracle_no_shelf,91,91,112692,　舞美人　純米吟醸７２０ｍｌ,51573,3,3,51327,3,0,3,98,2105,327,Z00,,,112692000::0:1536:0
