status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
created,,increase,create,52687,4,4,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,4,0,4,0,4,4,56278,2790,Z-0-0,z00_fallback
created,,increase,create,52697,21,21,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,4,0,4,0,4,4,56279,331,Z-0-0,z00_fallback
created,,increase,create,52686,3,3,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,4,56280,328,Z-0-0,z00_fallback
created,,increase,create,52644,3,3,132941,132941,　マッカラン　ダブルカスク　１２年　ミニセレクション　１００ｍｌ,4,0,4,0,4,4,56281,328,Z-0-0,z00_fallback
created,,increase,create,52693,10,10,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,4,56282,326,Z-0-0,z00_fallback
created,,increase,create,52691,10,10,142691,142691,　ＯＵＲ　ＢＲＥＷＩＮＧ　ディノ・キング３６５ｍｌ缶,4,0,4,0,4,4,56283,326,Z-0-0,z00_fallback
created,,increase,create,52488,91,91,221609,221609,　成城石井　ジャンボンセック９か月熟成スライス１６０ｇ,4,0,4,0,4,4,56284,472,AY-0-000,item_default_location
created,,increase,create,52529,11,11,131384,131384,　サントリー響　ブレンダーズチョイス　ミニセレクション　１００ｍｌ,4,0,4,0,4,4,56285,330,Z-0-0,z00_fallback
created,,increase,create,52532,11,11,132941,132941,　マッカラン　ダブルカスク　１２年　ミニセレクション　１００ｍｌ,4,0,4,0,4,4,56286,330,Z-0-0,z00_fallback
created,,increase,create,52534,11,11,132767,132767,　ウッドフォードリザーヴ　ミニセレクション　１００ｍｌ,4,0,4,0,4,4,56287,330,Z-0-0,z00_fallback
created,,increase,create,52696,11,11,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,4,56288,330,Z-0-0,z00_fallback
created,,increase,create,52690,7,7,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,4,56289,2712,Z-0-0,z00_fallback
