発注先CD,発注先名,元メッセージID,候補ID,商品CD,商品名,誤発注CD,正発注CD,数量,元ファイル
1106,"カナカン(株)食品  福井営業所",put_69facae3ab523_20260506140019@lw-hana.co.jp,216,171174,　アサヒ　ブラックニッカクリアブレンドハイボール樽詰１０Ｌ,空欄,4904230028642,2,jx-orders/2026-05-06/1106_order_20260506132228.dat
1106,"カナカン(株)食品  福井営業所",put_69facafec3b74_20260506140046@lw-hana.co.jp,201,143009,○アサヒ　スーパードライ１３５ｍｌ,空欄,4901004037428,2,jx-orders/2026-05-06/1106_order_20260506125118.dat
1106,"カナカン(株)食品  福井営業所",put_69facafec3b74_20260506140046@lw-hana.co.jp,202,143024,◎アサヒ　スーパードライ３５０ｍｌ,空欄,4901004006721,16,jx-orders/2026-05-06/1106_order_20260506125118.dat
1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,179,211485,　キリン　零ＩＣＨＩ（ゼロイチ）３５０ｍｌ,空欄,4901411092577,2,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,185,142056,　ハイネケンロングネック瓶３３０ｍｌ,空欄,4595315464013,4,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,205,172082,　ベイリーズ　アイリッシュクリーム　７００ｍｌ,空欄,5011013100156,2,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,208,213082,　キリン　小岩井　純水りんご１．５Ｌ,空欄,4909411077013,8,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,211,213218,　キリン小岩井　純水ぶどう１．５Ｌ,空欄,4909411077037,4,jx-orders/2026-05-06/1330_order_20260506125113.dat
1202,"国分中部㈱第二支社 福井支店",put_69facb19616d4_20260506140113@lw-hana.co.jp,92,211019,　ホッピービバレッジホッピーブラック３３０ｍｌ,空欄,4971701311138,1,jx-orders/2026-05-06/1202_order_20260506125108.dat
1202,"国分中部㈱第二支社 福井支店",put_69facb19616d4_20260506140113@lw-hana.co.jp,93,112957,　一本義　辛口純米酒７２０ｍｌ,空欄,4973092111229,2,jx-orders/2026-05-06/1202_order_20260506125108.dat
1106,"カナカン(株)食品  福井営業所",put_69facb1c73b81_20260506140116@lw-hana.co.jp,188,184722,　サントリー　－１９６ストロングゼロ　ドライ　３５０ｍｌ,空欄,4901777241497,5,jx-orders/2026-05-06/1106_order_20260506125000.dat
1330,三菱食品株式会社,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,192,185838,　キリン　氷結　無糖グレープフルーツ　Ａｌｃ．７％　５００ｍｌ,空欄,4901411130859,1,jx-orders/2026-05-06/1330_order_20260506125000.dat
1330,三菱食品株式会社,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,193,184535,　キリン　氷結ストロング　シチリア産レモン糖類ゼロ　５００ｍｌ,空欄,4901411035116,1,jx-orders/2026-05-06/1330_order_20260506125000.dat
1106,"カナカン(株)食品  福井営業所",put_69facb22b2ad1_20260506140122@lw-hana.co.jp,90,211052,　ウィルキンソン　タンサン　レモン５００ｍｌＰＥＴ,空欄,4514603347418,1,jx-orders/2026-05-06/1106_order_20260506123554.dat
1202,"国分中部㈱第二支社 福井支店",put_69facb322cda5_20260506140138@lw-hana.co.jp,177,100004,高畠　嘉スパークリング,4920205210942,0000001000047,1,jx-orders/2026-05-06/1202_order_20260506123051.dat
1106,"カナカン(株)食品  福井営業所",put_69facb51ccfc6_20260506140209@lw-hana.co.jp,80,211076,　アサヒ　三ツ矢サイダー缶２５０ｍｌ,空欄,4514603217612,4,jx-orders/2026-05-06/1106_order_20260506121256.dat
1330,三菱食品株式会社,put_69facb7a06588_20260506140250@lw-hana.co.jp,74,143180,　キリンクラシックラガー５００ｍｌ,空欄,4901411004754,2,jx-orders/2026-05-06/1330_order_20260506120700.dat
1202,"国分中部㈱第二支社 福井支店",put_69facb8851f67_20260506140304@lw-hana.co.jp,53,142654,　サッポロ　生ビール　ナナマル３５０ｍｌ（新）,空欄,4901880211462,4,jx-orders/2026-05-06/1202_order_20260506113427.dat
1330,三菱食品株式会社,put_69facb8b75e36_20260506140307@lw-hana.co.jp,55,143178,　キリンクラシックラガー３５０ｍｌ,空欄,4901411004716,4,jx-orders/2026-05-06/1330_order_20260506113427.dat
1106,"カナカン(株)食品  福井営業所",put_69facb9a9830d_20260506140322@lw-hana.co.jp,52,142069,　サントリー　プレミアムモルツ　香るエール３５０ｍｌ,空欄,4901777392977,4,jx-orders/2026-05-06/1106_order_20260506113427.dat
1106,"カナカン(株)食品  福井営業所",put_69facb9d80969_20260506140325@lw-hana.co.jp,46,184258,　ハイリキ　レモン３５０ｍｌ缶,空欄,4904230008088,1,jx-orders/2026-05-06/1106_order_20260506111642.dat
1202,"国分中部㈱第二支社 福井支店",put_69facba050fc8_20260506140328@lw-hana.co.jp,39,242085,　缶つま　九州産ぶりあら炊き１５０ｇ,空欄,4901592930330,5,jx-orders/2026-05-06/1202_order_20260506111031.dat
1106,"カナカン(株)食品  福井営業所",put_69facbb2af5a5_20260506140346@lw-hana.co.jp,32,113715,　加賀鳶純米　翔１．８Ｌ,空欄,4976876243536,1,jx-orders/2026-05-06/1106_order_20260506111030.dat
1106,"カナカン(株)食品  福井営業所",put_69facbb2af5a5_20260506140346@lw-hana.co.jp,33,184185,　ニッカ　ブラックニッカ　クリアハイボール３５０ｍｌ,空欄,4904230076049,1,jx-orders/2026-05-06/1106_order_20260506111030.dat
1106,"カナカン(株)食品  福井営業所",put_69facbb2af5a5_20260506140346@lw-hana.co.jp,38,322703,　五月ヶ瀬メイシャローズ２０枚,空欄,4981175030527,5,jx-orders/2026-05-06/1106_order_20260506111030.dat
1106,"カナカン(株)食品  福井営業所",put_69facbb58e4b2_20260506140349@lw-hana.co.jp,26,145061,　アサヒ　スタイルフリー　トリプルゼロ５００ｍｌ,4901004066190,4901004066268,8,jx-orders/2026-05-06/1106_order_20260506104734.dat
1106,"カナカン(株)食品  福井営業所",put_69facbbb49e2b_20260506140355@lw-hana.co.jp,25,211076,　アサヒ　三ツ矢サイダー缶２５０ｍｌ,空欄,4514603217612,4,jx-orders/2026-05-06/1106_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbbe28458_20260506140358@lw-hana.co.jp,16,211072,　コカコーラ　カナダドライ　ジンジャーエール瓶２０７ｍｌ,空欄,0000002110721,10,jx-orders/2026-05-06/1017_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbbe28458_20260506140358@lw-hana.co.jp,18,211173,　コカコーラ　カナダドライ　ジンジャーエール５００ｍｌペット,空欄,4902102077354,2,jx-orders/2026-05-06/1017_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbbe28458_20260506140358@lw-hana.co.jp,20,211523,　コカコーラ　コカコーラ　缶　２５０ｍｌ,空欄,4902102000161,4,jx-orders/2026-05-06/1017_order_20260506104501.dat
