document_id,batch_code,contractor_code,contractor_name,message_id,detail_rows,corrected_rows,dat_path,csv_path,fax_pdf_path,ticket_pdf_path
65,20260506125717022,1106,"カナカン(株)食品  福井営業所",put_69facae3ab523_20260506140019@lw-hana.co.jp,4,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_065_1106_20260506125717022.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_065_1106_20260506125717022.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_065_1106_20260506125717022_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_065_1106_20260506125717022_ticket.pdf
57,20260506124508022,1106,"カナカン(株)食品  福井営業所",put_69facafec3b74_20260506140046@lw-hana.co.jp,2,2,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_057_1106_20260506124508022.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_057_1106_20260506124508022.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_057_1106_20260506124508022_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_057_1106_20260506124508022_ticket.pdf
53,20260506123134091,1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,16,5,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_053_1330_20260506123134091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_053_1330_20260506123134091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_053_1330_20260506123134091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_053_1330_20260506123134091_ticket.pdf
49,20260506122300091,1202,"国分中部㈱第二支社 福井支店",put_69facb19616d4_20260506140113@lw-hana.co.jp,2,2,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_049_1202_20260506122300091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_049_1202_20260506122300091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_049_1202_20260506122300091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_049_1202_20260506122300091_ticket.pdf
48,20260506123303003,1106,"カナカン(株)食品  福井営業所",put_69facb1c73b81_20260506140116@lw-hana.co.jp,2,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_048_1106_20260506123303003.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_048_1106_20260506123303003.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_048_1106_20260506123303003_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_048_1106_20260506123303003_ticket.pdf
47,20260506123303003,1330,三菱食品株式会社,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,4,2,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_047_1330_20260506123303003.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_047_1330_20260506123303003.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_047_1330_20260506123303003_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_047_1330_20260506123303003_ticket.pdf
46,20260506122218021,1106,"カナカン(株)食品  福井営業所",put_69facb22b2ad1_20260506140122@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_046_1106_20260506122218021.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_046_1106_20260506122218021.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_046_1106_20260506122218021_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_046_1106_20260506122218021_ticket.pdf
41,20260506122853003,1202,"国分中部㈱第二支社 福井支店",put_69facb322cda5_20260506140138@lw-hana.co.jp,15,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_041_1202_20260506122853003.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_041_1202_20260506122853003.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_041_1202_20260506122853003_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_041_1202_20260506122853003_ticket.pdf
31,20260506120534091,1106,"カナカン(株)食品  福井営業所",put_69facb51ccfc6_20260506140209@lw-hana.co.jp,4,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_031_1106_20260506120534091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_031_1106_20260506120534091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_031_1106_20260506120534091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_031_1106_20260506120534091_ticket.pdf
19,20260506120328021,1330,三菱食品株式会社,put_69facb7a06588_20260506140250@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_019_1330_20260506120328021.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_019_1330_20260506120328021.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_019_1330_20260506120328021_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_019_1330_20260506120328021_ticket.pdf
