発注先コード,発注先名,倉庫コード,倉庫名,商品コード,商品名,元発注CD,正発注CD,発注数量,入荷予定日,発注日,候補ID,元メッセージID
1202,"国分中部㈱第二支社 福井支店",3,坂井店,112194,　一本義　山田錦１．８Ｌ,4973092006167,4973092006167,1,2026-05-07,2026-05-06,95,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,112956,　一本義　辛口純米酒１．８Ｌ,4973092111212,4973092111212,1,2026-05-07,2026-05-06,96,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,115013,　一本義　辛口クラシック　パック１．８Ｌ（旧金印）,4973092111151,4973092111151,3,2026-05-07,2026-05-06,97,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,121124,　３５°ホワイトタカラ４Ｌ,4904670022477,4904670022477,1,2026-05-07,2026-05-06,100,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,122140,　２５°キンミヤ焼酎　パック１．８Ｌ,4977991318215,4977991318215,1,2026-05-07,2026-05-06,101,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,122336,　２５°田苑　麦　ゴールド７２０ｍｌ,4966761001662,4966761001662,1,2026-05-07,2026-05-06,102,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,122359,　２０°鍛高譚（しそ）７２０ｍｌ,4971980196655,4971980196655,1,2026-05-07,2026-05-06,103,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,122974,　２５°ダバダ火振７２０ｍｌ（栗）,4944230100030,4944230100030,1,2026-05-07,2026-05-06,109,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,149757,　ＡＢインベブ　コロナ　エキストラ　缶３３０ｍｌ,6915878224233,6915878224233,1,2026-05-07,2026-05-06,121,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,181258,　サッポロ　濃いめのレモンサワー重ね檸檬３５０ｍｌ,4901880213695,4901880213695,2,2026-05-07,2026-05-06,136,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,184832,　タカラ　焼酎ハイボール　ラムネ　３５０ｍｌ,4904670478120,4904670478120,1,2026-05-07,2026-05-06,146,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,185552,　サッポロ　濃いめのレモンサワー　３５０ｍｌ缶,4901880201395,4901880201395,2,2026-05-07,2026-05-06,154,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,211057,　ハタ鉱泉よいこの泡びぃー３３０ｍｌ,4902494050126,4902494050126,1,2026-05-07,2026-05-06,160,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,242312,　缶つま　北海道産　鶏ぼんじり直火焼４０ｇ,4901592916464,4901592916464,1,2026-05-07,2026-05-06,167,put_69facb322cda5_20260506140138@lw-hana.co.jp
1202,"国分中部㈱第二支社 福井支店",3,坂井店,100004,高畠　嘉スパークリング,4920205210942,0000001000047,1,2026-05-07,2026-05-06,177,put_69facb322cda5_20260506140138@lw-hana.co.jp
