error_type,document_id,batch_code,transmitted_at,message_id,file_path,document_contractor_code,document_contractor_name,candidate_id,warehouse_code,warehouse_name,item_id,item_code,item_name,candidate_contractor_code,candidate_contractor_name,quantity_type,order_quantity,search_code,candidate_ordering_code_db,sent_order_cd_in_generated_logic,master_order_cd_is_used_for_ordering,fallback_jan_cd,fallback_other_piece_cd,recommended_correct_order_cd
OK,66,20260506134535022,2026-05-06 14:00:16,put_69facadf79823_20260506140015@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506134710.dat,1106,カナカン(株)食品  福井営業所,262,22,小浜店,143118,143118,　アサヒ　樽生　生ビール５Ｌ,1021,カナカン(株)酒類　福井営業所,PIECE,1,4901004040978,4901004040978,4901004040978,4901004040978,4901004040978,0000001431186,4901004040978
OK,65,20260506125717022,2026-05-06 14:00:20,put_69facae3ab523_20260506140019@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506132228.dat,1106,カナカン(株)食品  福井営業所,215,22,小浜店,143142,143142,　アサヒスーパードライ　生樽１９Ｌ,1021,カナカン(株)酒類　福井営業所,PIECE,4,4901004012210,4901004012210,4901004012210,4901004012210,4901004012210,0000001431421,4901004012210
SENT_BLANK_OR_ZERO_HAS_CORRECT_CD,65,20260506125717022,2026-05-06 14:00:20,put_69facae3ab523_20260506140019@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506132228.dat,1106,カナカン(株)食品  福井営業所,216,22,小浜店,171174,171174,　アサヒ　ブラックニッカクリアブレンドハイボール樽詰１０Ｌ,1021,カナカン(株)酒類　福井営業所,PIECE,2,4904230024972,,,4904230028642,4904230024972,0000001711745,4904230028642
OK,65,20260506125717022,2026-05-06 14:00:20,put_69facae3ab523_20260506140019@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506132228.dat,1106,カナカン(株)食品  福井営業所,217,22,小浜店,211339,211339,　アサヒドライゼロ３３４ｍｌ小瓶,1021,カナカン(株)酒類　福井営業所,CASE,2,4904230030034,4904230030034,4904230030034,4904230030034,4904230030034,0000002113395,4904230030034
OK,65,20260506125717022,2026-05-06 14:00:20,put_69facae3ab523_20260506140019@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506132228.dat,1106,カナカン(株)食品  福井営業所,218,22,小浜店,143142,143142,　アサヒスーパードライ　生樽１９Ｌ,1021,カナカン(株)酒類　福井営業所,PIECE,2,4901004012210,4901004012210,4901004012210,4901004012210,4901004012210,0000001431421,4901004012210
OK,61,20260506122639004,2026-05-06 14:00:34,put_69facaf16a311_20260506140033@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125123.dat,1106,カナカン(株)食品  福井営業所,209,4,サンドーム前店,172205,172205,　高千穂　熟成梅酒　７２０ｍｌ,1021,カナカン(株)酒類　福井営業所,CASE,1,4963265739473,4963265739473,4963265739473,4963265739473,4963265739473,0000001722055,4963265739473
OK,61,20260506122639004,2026-05-06 14:00:34,put_69facaf16a311_20260506140033@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125123.dat,1106,カナカン(株)食品  福井営業所,210,4,サンドーム前店,171201,171201,　チョーヤ　極熟梅酒　熟リッチ　７２０ｍｌ,1021,カナカン(株)酒類　福井営業所,PIECE,2,4905846119878,4905846119878,4905846119878,4905846119878,4905846119878,0000001712018,4905846119878
OK,61,20260506122639004,2026-05-06 14:00:34,put_69facaf16a311_20260506140033@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125123.dat,1106,カナカン(株)食品  福井営業所,213,4,サンドーム前店,171029,171029,　サントリー　こだわり酒場のタコハイの素　コンク　１．８Ｌペット,1021,カナカン(株)酒類　福井営業所,PIECE,1,4901777404946,4901777404946,4901777404946,4901777404946,4901777404946,0000001710298,4901777404946
OK,61,20260506122639004,2026-05-06 14:00:34,put_69facaf16a311_20260506140033@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125123.dat,1106,カナカン(株)食品  福井営業所,214,4,サンドーム前店,171524,171524,　サントリー　こだわり酒場のタコハイの素５００ｍｌ,1021,カナカン(株)酒類　福井営業所,PIECE,2,4901777393301,4901777393301,4901777393301,4901777393301,4901777393301,0000001715248,4901777393301
SENT_BLANK_OR_ZERO_HAS_CORRECT_CD,57,20260506124508022,2026-05-06 14:00:47,put_69facafec3b74_20260506140046@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125118.dat,1106,カナカン(株)食品  福井営業所,201,22,小浜店,143009,143009,○アサヒ　スーパードライ１３５ｍｌ,1021,カナカン(株)酒類　福井営業所,CASE,2,49893588,,,4901004037428,0000049893588,0000001430097,4901004037428
