document_id,batch_code,contractor_code,contractor_name,message_id,file_path,transmitted_at,document_order_count,candidate_rows,error_rows,blank_sent_rows,wrong_sent_rows,no_master_order_cd_rows
54,20260506123134091,1106,カナカン(株)食品  福井営業所,put_69faca40e268c_20260506135736@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125114.dat,2026-05-06 13:57:37,0,0,0,0,0,0
66,20260506134535022,1106,カナカン(株)食品  福井営業所,put_69facadf79823_20260506140015@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506134710.dat,2026-05-06 14:00:16,1,1,0,0,0,0
65,20260506125717022,1106,カナカン(株)食品  福井営業所,put_69facae3ab523_20260506140019@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506132228.dat,2026-05-06 14:00:20,4,4,1,1,0,0
64,20260506122639004,1202,国分中部㈱第二支社 福井支店,put_69facae74229c_20260506140023@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506125125.dat,2026-05-06 14:00:24,0,0,0,0,0,0
63,20260506122639004,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facaeab455d_20260506140026@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506125125.dat,2026-05-06 14:00:27,0,0,0,0,0,0
62,20260506122639004,1330,三菱食品株式会社,put_69facaee14709_20260506140030@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506125125.dat,2026-05-06 14:00:30,0,0,0,0,0,0
61,20260506122639004,1106,カナカン(株)食品  福井営業所,put_69facaf16a311_20260506140033@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125123.dat,2026-05-06 14:00:34,4,4,0,0,0,0
60,20260506124508022,1202,国分中部㈱第二支社 福井支店,put_69facaf4e9271_20260506140036@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506125121.dat,2026-05-06 14:00:37,0,0,0,0,0,0
59,20260506124508022,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facaf810d12_20260506140040@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506125120.dat,2026-05-06 14:00:40,0,0,0,0,0,0
58,20260506124508022,1330,三菱食品株式会社,put_69facafb6dd1b_20260506140043@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506125120.dat,2026-05-06 14:00:44,0,0,0,0,0,0
57,20260506124508022,1106,カナカン(株)食品  福井営業所,put_69facafec3b74_20260506140046@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125118.dat,2026-05-06 14:00:47,2,2,2,2,0,0
56,20260506123134091,1202,国分中部㈱第二支社 福井支店,put_69facb01dc59e_20260506140049@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506125115.dat,2026-05-06 14:00:50,0,0,0,0,0,0
