仕入先CD,仕入先名,document_id,batch_code,元メッセージID,倉庫CD,倉庫名,商品CD,商品名,誤発注CD,正発注CD,数量,元ファイル
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,4,20260506102357091,put_69facbbe28458_20260506140358@lw-hana.co.jp,91,華むすびの蔵センター,211072,　コカコーラ　カナダドライ　ジンジャーエール瓶２０７ｍｌ,空欄,0000002110721,10,jx-orders/2026-05-06/1017_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,4,20260506102357091,put_69facbbe28458_20260506140358@lw-hana.co.jp,91,華むすびの蔵センター,211173,　コカコーラ　カナダドライ　ジンジャーエール５００ｍｌペット,空欄,4902102077354,2,jx-orders/2026-05-06/1017_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,4,20260506102357091,put_69facbbe28458_20260506140358@lw-hana.co.jp,91,華むすびの蔵センター,211523,　コカコーラ　コカコーラ　缶　２５０ｍｌ,空欄,4902102000161,4,jx-orders/2026-05-06/1017_order_20260506104501.dat
1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,3,20260506091053091,put_69facbc0a9684_20260506140400@lw-hana.co.jp,91,華むすびの蔵センター,210094,　コカコーラ　いろはす５４０ｍｌ,空欄,4902102148597,1,jx-orders/2026-05-06/1017_order_20260506093406.dat
1021,カナカン(株)酒類　福井営業所,65,20260506125717022,put_69facae3ab523_20260506140019@lw-hana.co.jp,22,小浜店,171174,　アサヒ　ブラックニッカクリアブレンドハイボール樽詰１０Ｌ,空欄,4904230028642,2,jx-orders/2026-05-06/1106_order_20260506132228.dat
1021,カナカン(株)酒類　福井営業所,57,20260506124508022,put_69facafec3b74_20260506140046@lw-hana.co.jp,22,小浜店,143009,○アサヒ　スーパードライ１３５ｍｌ,空欄,4901004037428,2,jx-orders/2026-05-06/1106_order_20260506125118.dat
1021,カナカン(株)酒類　福井営業所,57,20260506124508022,put_69facafec3b74_20260506140046@lw-hana.co.jp,22,小浜店,143024,◎アサヒ　スーパードライ３５０ｍｌ,空欄,4901004006721,16,jx-orders/2026-05-06/1106_order_20260506125118.dat
1021,カナカン(株)酒類　福井営業所,48,20260506123303003,put_69facb1c73b81_20260506140116@lw-hana.co.jp,3,坂井店,184722,　サントリー　－１９６ストロングゼロ　ドライ　３５０ｍｌ,空欄,4901777241497,5,jx-orders/2026-05-06/1106_order_20260506125000.dat
1021,カナカン(株)酒類　福井営業所,12,20260506112326071,put_69facb9a9830d_20260506140322@lw-hana.co.jp,71,特販課,142069,　サントリー　プレミアムモルツ　香るエール３５０ｍｌ,空欄,4901777392977,4,jx-orders/2026-05-06/1106_order_20260506113427.dat
1021,カナカン(株)酒類　福井営業所,11,20260506111608009,put_69facb9d80969_20260506140325@lw-hana.co.jp,9,ヴィオ店,184258,　ハイリキ　レモン３５０ｍｌ缶,空欄,4904230008088,1,jx-orders/2026-05-06/1106_order_20260506111642.dat
1021,カナカン(株)酒類　福井営業所,8,20260506105835071,put_69facbb2af5a5_20260506140346@lw-hana.co.jp,71,特販課,113715,　加賀鳶純米　翔１．８Ｌ,空欄,4976876243536,1,jx-orders/2026-05-06/1106_order_20260506111030.dat
