document_id,batch_code,元メッセージID,倉庫CD,倉庫名,商品CD,商品名,誤発注CD,正発注CD,数量,元ファイル,誤伝票PDF,修正伝票PDF
53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,211485,　キリン　零ＩＣＨＩ（ゼロイチ）３５０ｍｌ,空欄,4901411092577,2,jx-orders/2026-05-06/1330_order_20260506125113.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_053_1330_20260506123134091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_053_1330_20260506123134091.pdf
53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,142056,　ハイネケンロングネック瓶３３０ｍｌ,空欄,4595315464013,4,jx-orders/2026-05-06/1330_order_20260506125113.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_053_1330_20260506123134091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_053_1330_20260506123134091.pdf
53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,172082,　ベイリーズ　アイリッシュクリーム　７００ｍｌ,空欄,5011013100156,2,jx-orders/2026-05-06/1330_order_20260506125113.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_053_1330_20260506123134091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_053_1330_20260506123134091.pdf
53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,213082,　キリン　小岩井　純水りんご１．５Ｌ,空欄,4909411077013,8,jx-orders/2026-05-06/1330_order_20260506125113.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_053_1330_20260506123134091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_053_1330_20260506123134091.pdf
53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,213218,　キリン小岩井　純水ぶどう１．５Ｌ,空欄,4909411077037,4,jx-orders/2026-05-06/1330_order_20260506125113.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_053_1330_20260506123134091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_053_1330_20260506123134091.pdf
47,20260506123303003,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,3,坂井店,185838,　キリン　氷結　無糖グレープフルーツ　Ａｌｃ．７％　５００ｍｌ,空欄,4901411130859,1,jx-orders/2026-05-06/1330_order_20260506125000.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_047_1330_20260506123303003.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_047_1330_20260506123303003.pdf
47,20260506123303003,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,3,坂井店,184535,　キリン　氷結ストロング　シチリア産レモン糖類ゼロ　５００ｍｌ,空欄,4901411035116,1,jx-orders/2026-05-06/1330_order_20260506125000.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_047_1330_20260506123303003.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_047_1330_20260506123303003.pdf
19,20260506120328021,put_69facb7a06588_20260506140250@lw-hana.co.jp,21,江守店,143180,　キリンクラシックラガー５００ｍｌ,空欄,4901411004754,2,jx-orders/2026-05-06/1330_order_20260506120700.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_019_1330_20260506120328021.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_019_1330_20260506120328021.pdf
14,20260506112326071,put_69facb8b75e36_20260506140307@lw-hana.co.jp,71,特販課,143178,　キリンクラシックラガー３５０ｍｌ,空欄,4901411004716,4,jx-orders/2026-05-06/1330_order_20260506113427.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_014_1330_20260506112326071.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_014_1330_20260506112326071.pdf
2,20260506091053091,put_69facbc603355_20260506140406@lw-hana.co.jp,91,華むすびの蔵センター,143052,　ハイネケン３５０ｍｌ,空欄,4595315464037,2,jx-orders/2026-05-06/1330_order_20260506091844.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/wrong_pdf/wrong_doc_002_1330_20260506091053091.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/missing_order_cd_supplier_pairs_20260506/suppliers/supplier_1330/corrected_pdf/corrected_doc_002_1330_20260506091053091.pdf
