doc_id,contractor_id,warehouse_id,batch_code,file_path,created_at,transmitted_at,db_file_size,actual_size,size_match,db_record_count,actual_records,record_count_match,db_order_count,actual_d_records,order_count_match,db_candidate_count,db_case_rows,db_piece_rows,db_case_qty_sum,file_case_qty_sum,case_qty_sum_match,db_piece_qty_sum,file_piece_qty_sum,piece_qty_sum_match,invalid_record_length,read_error,issues
1,1202,91,20260506091053091,jx-orders/2026-05-06/1202_order_20260506091843.dat,"2026-05-06 09:18:45","2026-05-06 14:04:04",640,640,1,5,5,1,1,1,1,1,1,0,2,2,1,0,0,1,0,,
2,1330,91,20260506091053091,jx-orders/2026-05-06/1330_order_20260506091844.dat,"2026-05-06 09:18:45","2026-05-06 14:04:06",640,640,1,5,5,1,1,1,1,1,1,0,2,2,1,0,0,1,0,,
3,1017,91,20260506091053091,jx-orders/2026-05-06/1017_order_20260506093406.dat,"2026-05-06 09:34:07","2026-05-06 14:04:01",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
4,1017,91,20260506102357091,jx-orders/2026-05-06/1017_order_20260506104501.dat,"2026-05-06 10:45:02","2026-05-06 14:03:58",1024,1024,1,8,8,1,4,4,1,4,4,0,17,17,1,0,0,1,0,,
5,1106,91,20260506102357091,jx-orders/2026-05-06/1106_order_20260506104501.dat,"2026-05-06 10:45:03","2026-05-06 14:03:56",896,896,1,7,7,1,2,2,1,2,2,0,49,49,1,0,0,1,0,,
6,1106,91,20260506102357091,jx-orders/2026-05-06/1106_order_20260506104701.dat,"2026-05-06 10:47:02","2026-05-06 14:03:53",896,896,1,7,7,1,3,3,1,3,3,0,50,50,1,0,0,1,0,,
7,1106,2,20260506104651002,jx-orders/2026-05-06/1106_order_20260506104734.dat,"2026-05-06 10:47:35","2026-05-06 14:03:50",640,640,1,5,5,1,1,1,1,1,1,0,8,8,1,0,0,1,0,,
8,1106,71,20260506105835071,jx-orders/2026-05-06/1106_order_20260506111030.dat,"2026-05-06 11:10:32","2026-05-06 14:03:47",1664,1664,1,13,13,1,7,7,1,7,3,4,6,6,1,9,9,1,0,,
9,1202,71,20260506105835071,jx-orders/2026-05-06/1202_order_20260506111031.dat,"2026-05-06 11:10:33","2026-05-06 14:03:29",1024,1024,1,8,8,1,4,4,1,4,4,0,23,23,1,0,0,1,0,,
10,1330,71,20260506105835071,jx-orders/2026-05-06/1330_order_20260506111031.dat,"2026-05-06 11:10:33","2026-05-06 14:03:31",640,640,1,5,5,1,1,1,1,1,1,0,2,2,1,0,0,1,0,,
11,1106,9,20260506111608009,jx-orders/2026-05-06/1106_order_20260506111642.dat,"2026-05-06 11:16:43","2026-05-06 14:03:26",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
12,1106,71,20260506112326071,jx-orders/2026-05-06/1106_order_20260506113427.dat,"2026-05-06 11:34:28","2026-05-06 14:03:23",640,640,1,5,5,1,1,1,1,1,1,0,4,4,1,0,0,1,0,,
13,1202,71,20260506112326071,jx-orders/2026-05-06/1202_order_20260506113427.dat,"2026-05-06 11:34:29","2026-05-06 14:03:05",640,640,1,5,5,1,1,1,1,1,1,0,4,4,1,0,0,1,0,,
14,1330,71,20260506112326071,jx-orders/2026-05-06/1330_order_20260506113427.dat,"2026-05-06 11:34:29","2026-05-06 14:03:08",768,768,1,6,6,1,2,2,1,2,2,0,8,8,1,0,0,1,0,,
