ordering_code,item_code,product_name,record_count,file_count,send_pattern,case_values,piece_values,has_case_1,has_case_2,has_case_3,has_case_4,sample_file
4901004005755,147044,アサヒ　スタイルフリー５００ｍｌ,92,42,CASE_ONLY,2:38 3:23 4:23 5:8,0:92,0,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004005779,147043,アサヒ　スタイルフリー３５０ｍｌ,11,10,CASE_ONLY,8:11,0:11,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901004006684,143114,沖縄　オリオン　ザ・ドラフト３５０ｍｌ,84,34,CASE_ONLY,1:53 2:27 3:3 4:1,0:84,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004006721,143024,アサヒ　スーパードライ３５０ｍｌ,25,17,CASE_ONLY,4:1 8:1 10:1 16:14 24:3 40:1 56:1 72:3,0:25,0,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901004006820,143025,アサヒ　スーパードライ５００ｍｌ,17,14,CASE_ONLY,2:13 4:4,0:17,0,1,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901004007629,143027,アサヒ　スーパードライ２５０ｍｌ,108,43,CASE_ONLY,1:31 2:66 3:1 4:7 5:1 20:2,0:108,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
4901004007759,147062,アサヒスタイルフリー２５０ｍｌ,1,1,CASE_ONLY,1:1,0:1,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250907235020.txt
4901004008220,185013,アサヒ　クリアアサヒ　５００ｍｌ,84,40,CASE_ONLY,1:14 2:32 3:15 4:23,0:84,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004008244,185012,アサヒ　クリアアサヒ　３５０ｍｌ,16,16,CASE_ONLY,8:16,0:16,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901004011725,185027,アサヒクリア　アサヒ２５０ｍｌ,25,17,CASE_ONLY,1:19 2:6,0:25,1,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
4901004030986,145039,アサヒ　スタイルフリー　パーフェクト５００ｍｌ,87,45,CASE_ONLY,1:8 2:46 3:17 4:15 5:1,0:87,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004031006,145038,アサヒ　スタイルフリー　パーフェクト３５０ｍｌ,5,5,CASE_ONLY,8:5,0:5,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
4901004034427,147199,アサヒ　クリアアサヒ　贅沢ゼロ５００ｍｌ,88,38,CASE_ONLY,1:26 2:52 3:1 4:3 5:6,0:88,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004034441,147198,アサヒ　クリアアサヒ　贅沢ゼロ３５０ｍｌ,4,4,CASE_ONLY,4:4,0:4,0,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250807140033.txt
4901004037428,143009,アサヒ　スーパードライ１３５ｍｌ,129,45,CASE_ONLY,1:37 2:55 3:20 4:9 5:3 6:1 8:2 10:2,0:129,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004039835,142104,アサヒ　アサヒ　生ビール５００ｍｌ,52,28,CASE_ONLY,1:43 2:8 4:1,0:52,1,1,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004039859,142102,アサヒ　アサヒ　生ビール３５０ｍｌ,9,9,CASE_ONLY,4:9,0:9,0,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250806140027.txt
4901004056504,142466,アサヒ　アサヒ　生ビール　黒生５００ｍｌ,27,20,CASE_ONLY,1:27,0:27,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004056535,143194,アサヒ　アサヒ　生ビール　黒生３５０ｍｌ,59,35,CASE_ONLY,1:25 2:29 3:1 4:4,0:59,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004058928,142524,アサヒ　アサヒ　生ビール２５０ｍｌ,1,1,CASE_ONLY,1:1,0:1,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250904140028.txt
4901004059055,147256,アサヒ　ザ・リッチ　５００ｍｌ,48,27,CASE_ONLY,1:31 2:17,0:48,1,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004059079,147255,アサヒ　ザ・リッチ　３５０ｍｌ,4,4,CASE_ONLY,3:4,0:4,0,0,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
4901004059093,142496,アサヒ　スーパードライ　生ジョッキ缶　大生４８５ｍｌ,66,33,CASE_ONLY,1:15 2:34 3:14 4:3,0:66,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004059130,142406,アサヒ　スーパードライ　生ジョッキ缶３４０ｍｌ,8,8,CASE_ONLY,8:8,0:8,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250808140024.txt
4901004060488,142339,アサヒ　スーパードライ　ドライクリスタル５００ｍｌ,53,29,CASE_ONLY,1:46 2:7,0:53,1,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004060532,142330,アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ,2,2,CASE_ONLY,3:1 4:1,0:2,0,0,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
4901004061294,185022,アサヒ　Ｏｆｆ（オフ）５００ｍｌ缶,90,43,CASE_ONLY,1:46 2:38 3:6,0:90,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004061324,185021,アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,7,7,CASE_ONLY,8:7,0:7,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901004061607,142617,アサヒ　食彩　ジョッキ缶４８５ｍｌ,11,9,CASE_ONLY,1:11,0:11,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
4901004061638,142603,アサヒ　食彩　ジョッキ缶３４０ｍｌ,36,21,CASE_ONLY,1:23 2:7 3:1 4:2 6:1 8:1 16:1,0:36,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
4901004062475,142765,アサヒ　ザ・ビタリスト５００ｍｌ,27,22,CASE_ONLY,1:24 2:2 3:1,0:27,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004062499,142764,アサヒ　ザ・ビタリスト３５０ｍｌ,38,26,CASE_ONLY,1:1 2:12 3:2 4:12 5:1 6:1 8:7 9:1 16:1,0:38,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004063076,142835,アサヒ　アサヒ　生ビール　ワンサード３５０ｍｌ,1,1,CASE_ONLY,3:1,0:1,0,0,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250903140034.txt
4901004064455,146177,ペローニ　ナストロアズーロ３５０ｍｌ缶,3,3,CASE_ONLY,1:3,0:3,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901004064820,142339,アサヒ　スーパードライ　ドライクリスタル５００ｍｌ,13,1,CASE_ONLY,1:2 2:7 3:2 4:1 5:1,0:13,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250930140024.txt
4901777185333,184144,サントリー　金麦３５０ｍｌ,9,9,CASE_ONLY,8:9,0:9,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901777185357,184145,サントリー　金麦５００ｍｌ,9,9,CASE_ONLY,2:9,0:9,0,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901777207288,184475,サントリー　－１９６℃ストロングゼロ　ダブルレモン　３５０ｍｌ,106,39,CASE_ONLY,1:14 2:25 3:40 4:16 5:2 6:2 8:7,0:106,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777217201,147045,サントリー　ジョッキ生　３５０ｍｌ,45,27,CASE_ONLY,1:21 2:9 3:2 4:5 8:8,0:45,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777217249,147046,サントリー　ジョッキ生　５００ｍｌ,16,12,CASE_ONLY,1:16,0:16,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
4901777230156,147084,サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,7,7,CASE_ONLY,8:7,0:7,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901777230194,147085,サントリー　金麦　糖質ｏｆｆ５００ｍｌ,88,44,CASE_ONLY,1:54 2:22 3:7 4:5,0:88,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777241497,184722,サントリー　－１９６℃ストロングゼロ　ドライ　３５０ｍｌ,109,45,CASE_ONLY,1:10 2:20 3:34 4:31 5:7 6:2 8:5,0:109,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777252622,184242,サントリー　角ハイボール缶　３５０ｍｌ,133,51,CASE_ONLY,2:18 3:23 4:31 5:21 6:17 7:1 8:15 10:2 14:5,0:133,0,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777255036,184335,サントリー　トリスハイボール　缶３５０ｍｌ,93,45,CASE_ONLY,1:26 2:50 3:11 4:6,0:93,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777270701,184533,サントリー　－１９６℃ストロングゼロ　ダブルＧＦ　３５０ｍｌ,73,36,CASE_ONLY,1:34 2:23 3:13 4:2 5:1,0:73,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777323926,184476,サントリー　－１９６℃ストロングゼロ　ダブルレモン　５００ｍｌ,59,35,CASE_ONLY,1:50 2:7 3:2,0:59,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777323988,184723,サントリー　－１９６℃ストロングゼロ　ドライ　５００ｍｌ,80,37,CASE_ONLY,1:54 2:23 3:3,0:80,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777324824,211354,サントリーオールフリー　ライムショット３５０ｍｌ,65,30,CASE_ONLY,1:59 2:5 3:1,0:65,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777337015,185195,サントリー　こだわり酒場のレモンサワー３５０ｍｌ,118,44,CASE_ONLY,1:2 2:23 3:4 4:20 5:26 6:27 8:15 9:1,0:118,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777339026,211338,サントリー　からだ想うオールフリー３５０ｍｌ,101,41,CASE_ONLY,1:7 2:5 4:37 5:8 6:12 8:32,0:101,1,1,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777345430,185196,サントリー　こだわり酒場のレモンサワー５００ｍｌ,98,40,CASE_ONLY,1:83 2:14 3:1,0:98,1,1,1,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777349179,211237,サントリー　オールフリー３５０ｍｌ,113,51,CASE_ONLY,1:25 2:8 3:21 4:12 5:11 6:2 7:1 8:33,0:113,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777349193,211162,サントリー　オールフリー５００ｍｌ,19,17,CASE_ONLY,1:18 4:1,0:19,1,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777349216,251003,サントリーオールフリー２５０ｍｌ,51,30,CASE_ONLY,1:36 2:15,0:51,1,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4901777359239,147271,サントリー　金麦　ザ・ラガー３５０ｍｌ,3,3,CASE_ONLY,4:3,0:3,0,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4901777359253,147272,サントリー　金麦　ザ・ラガー５００ｍｌ,34,20,CASE_ONLY,1:33 2:1,0:34,1,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
