ordering_code,item_code,product_name,record_count,file_count,send_pattern,case_values,piece_values,has_case_1,has_case_2,has_case_3,has_case_4,sample_file
0000001133332,113333,日栄本醸造　榮１．８Ｌ,4,4,PIECE_ONLY,0:4,1:4,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250814140022.txt
0000001135886,113588,手取川　本流１．８Ｌ　※石川県内限定,5,5,CASE_ONLY,1:5,0:5,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250816140021.txt
0000001229110,122911,２５°くろうま　玄海ボトル７２０ｍｌ（麦）敦賀店専用,2,2,CASE_ONLY,5:2,0:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250901140054.txt
0000001321258,132125,ジャックダニエル　シングルバレル　７５０ｍｌ,2,2,PIECE_ONLY,0:2,1:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250902140025.txt
0000001551914,155191,ガンチア　スプマンテ　ブリュット　７５０ｍｌ,1,1,CASE_ONLY,1:1,0:1,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250927140022.txt
0080432402979,132415,グレングラント　１０年　７００ｍｌ,7,7,PIECE_ONLY,0:7,1:5 2:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
0080686016083,132325,ノブクリーク　ライ７５０ｍｌ,3,3,PIECE_ONLY,0:3,1:3,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250808140024.txt
0080686016403,132207,ノブクリーク　７５０ｍｌ,21,20,PIECE_ONLY,0:21,1:21,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
0080686024019,132377,リージェント　７５０ｍｌ,3,2,PIECE_ONLY,0:3,1:2 2:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250817235022.txt
0080686043171,172433,ジムビーム　ピーチ　７００ｍｌ,8,7,PIECE_ONLY,0:8,1:6 2:1 3:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
0085246500576,132417,メーカーズマーク　レッドトップ　７００ｍｌ,37,26,MIXED_OR_ZERO,0:36 1:1,0:1 1:14 2:9 3:5 4:8,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
0085246502327,132155,メーカーズマーク　４６　７００ｍｌ,8,7,PIECE_ONLY,0:8,1:8,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
0721059002530,132131,ワイルドターキー　レアブリード　７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250817235022.txt
0813497003047,135093,ザ　ディーコン　７００ｍｌ,13,11,MIXED_OR_ZERO,0:10 1:3,0:3 1:6 2:2 3:2,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
3012996012001,210218,ドーバー　カリブ　１００％天然糖液　７００ｍｌ,2,2,PIECE_ONLY,0:2,2:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250907235020.txt
3028130075344,134089,カミュ　ボルドリ　ＸＯ　７００ｍｌ,2,2,PIECE_ONLY,0:2,1:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
3052910010836,210102,モナン　クランベリー７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250813140025.txt
3052910013219,210104,モナン　ブルーキュラソー７００ｍｌ,5,5,PIECE_ONLY,0:5,1:5,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250826140027.txt
3052910015107,210131,モナン　グリーンアップルシロップ７００ｍｌ,3,3,PIECE_ONLY,0:3,1:3,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250820140033.txt
3052910055301,210504,モナン　グレープフルーツ７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250821140035.txt
3052910056209,210012,モナン　レモンシロップ７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
3052910056292,210113,モナン　カシスシロップ７００ｍｌ,20,17,MIXED_OR_ZERO,0:18 1:2,0:2 1:7 2:11,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
3052911352898,210106,モナン　ストロベリー７００ｍｌ,3,3,PIECE_ONLY,0:3,1:3,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250807140033.txt
3052911353970,210103,モナン　シロップラズベリー７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250812140022.txt
3052911355127,210121,モナン　ブルーベリー７００ｍｌ,2,2,PIECE_ONLY,0:2,1:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250920140034.txt
3052911355837,210111,モナン　ピーチ７００ｍｌ,8,8,PIECE_ONLY,0:8,1:8,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
3052911361395,210107,モナン　シロップ　サングリア７００ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250825140025.txt
3104691401249,172078,ルジェ　クレーム　ド　ストロベリー　７００ｍｌ,2,2,PIECE_ONLY,0:2,1:1 2:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250807140033.txt
3104760001646,134065,グヨカルヴァドス　７００ｍｌ,3,3,PIECE_ONLY,0:3,1:3,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250814140022.txt
3148592008442,155301,カフェ　ド　パリ　レモン　７５０ｍｌ,1,1,PIECE_ONLY,0:1,1:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250808140024.txt
3148592008473,155072,カフェ　ド　パリ　グリーンアップル　７５０ｍｌ,11,11,PIECE_ONLY,0:11,1:9 2:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
3148592008503,155100,カフェ　ド　パリ　ライチ　７５０ｍｌ,5,5,PIECE_ONLY,0:5,1:4 2:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250813140025.txt
3148592008534,155289,カフェ　ド　パリ　マスカット　７５０ｍｌ,10,9,PIECE_ONLY,0:10,1:3 2:7,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
3148592008565,155193,カフェ　ド　パリ　ＧＦ　７５０ｍｌ,2,2,PIECE_ONLY,0:2,1:1 2:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250831235026.txt
3148592008596,155099,カフェ　ド　パリ　ピーチ　７５０ｍｌ,5,4,PIECE_ONLY,0:5,1:2 2:2 3:1,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250814140022.txt
3148592008657,155183,カフェ　ド　パリ　さくらんぼ　７５０ｍｌ,2,2,PIECE_ONLY,0:2,1:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250817235022.txt
3148592008688,155295,カフェ　ド　パリ　ストロベリー　７５０ｍｌ,2,1,PIECE_ONLY,0:2,1:2,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250919140035.txt
3252560300138,172208,レニエ　クレームドカシス　７００ｍｌ,1,1,CASE_ONLY,1:1,0:1,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250819140026.txt
4067700014184,172044,イエーガーマイスター　７００ｍｌ,10,9,PIECE_ONLY,0:10,1:10,0,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
4514062222813,247016,ＵＨＡ味覚糖　イーマのど飴　グレープ,1,1,CASE_ONLY,1:1,0:1,1,0,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250804140027.txt
4514603219616,212047,アサヒ　スーパーＨ２Ｏ２Ｌ,2,2,CASE_ONLY,2:2,0:2,0,1,0,0,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250811140022.txt
4514603244717,210287,アサヒ　おいしい水　富士山２ＬＰＥＴ,91,47,CASE_ONLY,3:6 4:23 5:17 6:18 8:4 10:18 12:1 15:1 30:3,0:91,0,0,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/20250928235020.txt
4514603301519,214055,アサヒ　ウーロン茶２Ｌ,9,9,CASE_ONLY,4:7 6:2,0:9,0,0,0,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250806140027.txt
4514603392517,215335,アサヒ　十六茶麦茶２Ｌ,27,19,CASE_ONLY,1:11 2:3 3:11 4:2,0:27,1,1,1,1,/Users/jungsinyu/Works/1.顧客対応/11.華様/問屋さんやり取り/3.過去データEOS/kanakan/1021_order/LWHANA_20250803235023.txt
