店舗CD,倉庫名,仕入先CD,仕入先名,JX伝票番号,発注日,納品日,商品CD,商品名,JANコード,入数,発注ケース,発注バラ,入荷ケース,入荷バラ,マッチ
0003,坂井店,1330,三菱食品株式会社,00000515877,2026-05-08,2026-05-09,184299,　キリン　本搾り　レモン　３５０ｍｌ,4901411076478,24,0,0,0,20,×倉庫/仕入先不一致
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,184424,　キリン　氷結ＺＥＲＯ　レモン　５００ｍｌ,4901411047560,24,2,0,0,72,○
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,184535,　キリン　氷結ストロング　シチリア産レモン糖類ゼロ　５００ｍｌ,4901411035123,24,9,0,0,48,△5件
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,184525,　キリン　氷結ストロング　シチリア産レモン　糖質ゼロ　３５０ｍｌ,4901411085487,24,2,0,0,8,○
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,184178,　キリン　本搾り　グレープフルーツ　３５０ｍｌ,4901411076454,24,0,0,0,16,×倉庫/仕入先不一致
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,185525,　キリン　氷結　無糖レモン　Ａｌｃ．４％　５００ｍｌ,4901411118697,24,0,0,0,8,×倉庫/仕入先不一致
0003,坂井店,1330,三菱食品株式会社,00000515878,2026-05-08,2026-05-09,185523,　キリン　氷結　無糖レモン　Ａｌｃ．７％５００ｍｌ,4901411118727,24,0,0,0,8,×入荷予定なし
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,143011,○キリン　一番搾り１３５ｍｌ,4901411148311,30,0,72,0,10,○
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,184401,　キリン　氷結　シャルドネスパークリング　３５０ｍｌ,4901411034683,24,1,0,0,24,○
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,184424,　キリン　氷結ＺＥＲＯ　レモン　５００ｍｌ,4901411047560,24,1,0,0,24,○
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,184546,　キリン　本搾り　ピンクグレープフルーツ３５０ｍｌ,4901411055480,24,4,0,0,96,○
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,184178,　キリン　本搾り　グレープフルーツ　３５０ｍｌ,4901411076454,24,0,48,0,8,○
0004,サンドーム前店,1330,三菱食品株式会社,00000515881,2026-05-08,2026-05-09,184299,　キリン　本搾り　レモン　３５０ｍｌ,4901411076478,24,0,24,0,4,○
0009,ヴィオ店,1330,三菱食品株式会社,00000515882,2026-05-08,2026-05-09,114135,　月桂冠辛口パック２Ｌ,4901030225660,6,0,0,0,3,×入荷予定なし
0009,ヴィオ店,1330,三菱食品株式会社,00000515882,2026-05-08,2026-05-09,121163,　２０°メルシャン大喜利ペット４Ｌ,4973480161010,4,0,0,0,1,×倉庫/仕入先不一致
0009,ヴィオ店,1330,三菱食品株式会社,00000515882,2026-05-08,2026-05-09,142751,　キリン　ＳＰＲＩＮＧ　ＶＡＬＬＥＹ　豊潤　４９６　３５０ｍｌ（新）,4901411142050,24,0,0,0,4,×倉庫/仕入先不一致
0009,ヴィオ店,1330,三菱食品株式会社,00000515882,2026-05-08,2026-05-09,142860,　キリン　グッドエール５００ｍｌ,4901411141244,24,0,0,0,4,×倉庫/仕入先不一致
0010,敦賀店,1330,三菱食品株式会社,00000515874,2026-05-08,2026-05-09,123568,　２５°いいちこ　深薫９００ｍｌ（麦）,4906666100794,12,0,0,0,12,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515876,2026-05-08,2026-05-09,111395,　月桂冠特撰７２０ｍｌ,4901030055069,12,0,0,0,6,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515880,2026-05-08,2026-05-09,184166,　スミノフアイス　２７５ｍｌ,5410316982061,24,0,0,0,10,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515880,2026-05-08,2026-05-09,184218,　キリン　本搾り　グレープフルーツ５００ｍｌ,4901411026176,24,0,0,0,24,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515880,2026-05-08,2026-05-09,185835,　キリン　氷結　無糖グレープフルーツ　Ａｌｃ．４％　３５０ｍｌ,4901411113678,24,0,0,0,48,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,121093,◎２５°楽　やわらかブレンド４Ｌ,4973480117475,4,0,0,0,1,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,123556,　２５°いいちこパック９００ｍｌ（麦）,4906666100558,6,0,0,0,2,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,132019,　クレイモア　７００ｍｌ,5010196023313,12,0,0,0,1,×入荷予定なし
