日付,自社ステーションコード,自社ステーション名,相手ステーションコード,相手ステーション名,相手ステーション接続形態,データ種コード,データ種名,自社　サイクル,自社　開始日付,自社　開始時刻,自社　終了時刻,振分処理,レコード件数,相手　サイクル,相手　開始日付,相手　開始時刻,相手　終了時刻,別データ種
2026/05/09,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0009,2026/05/10,08:30:44,08:30:44,処理済,0000136,0002,2026/05/09,17:30:12,17:30:13, 
2026/05/09,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0008,2026/05/10,08:30:43,08:30:43,処理済,0000015,0001,2026/05/09,17:04:44,17:04:45, 
2026/05/09,420701,華,MA0807,三菱食品（旧明治屋商事）　名古屋,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0007,2026/05/10,08:30:41,08:30:41,処理済,0000217,0002,2026/05/09,16:00:58,16:00:58, 
2026/05/09,420701,華,MA0807,三菱食品（旧明治屋商事）　名古屋,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0006,2026/05/10,08:30:40,08:30:40,処理済,0000061,0001,2026/05/09,16:00:13,16:00:13, 
2026/05/08,420701,華,MA166F,カナカン,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0005,2026/05/10,08:30:38,08:30:39,処理済,0000289,0001,2026/05/08,19:57:59,19:57:59, 
2026/05/08,420701,華,MB65D7,北陸コカ・コーラボトリング（ＨＯＳＴ　華）,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0004,2026/05/10,08:30:37,08:30:37,処理済,0000056,0001,2026/05/08,18:52:25,18:52:25, 
2026/05/08,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0003,2026/05/10,08:30:35,08:30:35,処理済,0000182,0002,2026/05/08,17:34:49,17:34:49, 
2026/05/08,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0002,2026/05/10,08:30:34,08:30:34,処理済,0000014,0001,2026/05/08,17:34:21,17:34:21, 
2026/05/08,420701,華,MA0807,三菱食品（旧明治屋商事）　名古屋,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0001,2026/05/10,08:30:32,08:30:32,処理済,0000055,0001,2026/05/08,16:12:16,16:12:16, 
2026/05/07,420701,華,MA0807,三菱食品（旧明治屋商事）　名古屋,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0006,2026/05/08,11:21:54,11:21:54,処理済,0000051,0004,2026/05/07,21:37:50,21:37:50, 
2026/05/07,420701,華,MA0807,三菱食品（旧明治屋商事）　名古屋,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0005,2026/05/08,11:21:52,11:21:52,処理済,0000334,0003,2026/05/07,21:36:11,21:36:12, 
2026/05/07,420701,華,MA166F,カナカン,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0004,2026/05/08,11:21:50,11:21:51,処理済,0001308,0001,2026/05/07,19:57:58,19:57:58, 
2026/05/07,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0003,2026/05/08,11:21:49,11:21:49,処理済,0000470,0002,2026/05/07,17:48:47,17:48:48, 
2026/05/07,420701,華,MB65D7,北陸コカ・コーラボトリング（ＨＯＳＴ　華）,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0002,2026/05/08,11:21:48,11:21:48,処理済,0000031,0001,2026/05/07,17:30:57,17:30:57, 
2026/05/07,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0001,2026/05/08,11:21:46,11:21:46,処理済,0000010,0001,2026/05/07,17:23:42,17:23:42, 
2026/05/06,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0004,2026/05/07,13:03:19,13:03:19,処理済,0000257,0002,2026/05/06,20:04:29,20:04:29, 
2026/05/06,420701,華,MA166F,カナカン,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0003,2026/05/07,13:03:18,13:03:18,処理済,0000059,0001,2026/05/06,18:55:47,18:55:48, 
2026/05/06,420701,華,MB65D7,北陸コカ・コーラボトリング（ＨＯＳＴ　華）,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0002,2026/05/07,13:03:16,13:03:16,処理済,0000022,0001,2026/05/06,18:06:10,18:06:11, 
2026/05/06,420701,華,EA0683,国分グループ本社　国分中部,ホスト,="90",ﾌﾘｰﾌｫｰﾏｯﾄ <ﾒｰｶｰ送信>,0001,2026/05/07,13:03:15,13:03:15,処理済,0000021,0001,2026/05/06,17:16:35,17:16:36, 
