JXフォルダ,ファイル名,JX伝票番号,JX店舗CD,JX倉庫名,JX仕入先CD,JX仕入先名,発注日,納品日,JANコード,JX商品CD,JX商品名,DB商品CD,DB商品名,JX入荷ケース,JX入荷バラ,JX入荷総数,予定倉庫CD,予定倉庫名,予定仕入先CD,予定仕入先名,予定伝票番号,予定数量,予定単位,予定ソース,倉庫一致,仕入先一致
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4973766000897,,単式２５゜神の河　　　　　　　　　　　　,122100,○２５°神の河（麦・貯蔵）７２０ｍｌ,4,0,24,9,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",202605071000,1,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4973766000897,,単式２５゜神の河　　　　　　　　　　　　,122100,○２５°神の河（麦・貯蔵）７２０ｍｌ,4,0,24,8,プラザ店,1202,"国分中部㈱第二支社 福井支店",202605071000,1,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4973766000897,,単式２５゜神の河　　　　　　　　　　　　,122100,○２５°神の河（麦・貯蔵）７２０ｍｌ,4,0,24,9,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",202605071000,1,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4973766000897,,単式２５゜神の河　　　　　　　　　　　　,122100,○２５°神の河（麦・貯蔵）７２０ｍｌ,4,0,24,9,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",202605071000,1,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4973766000897,,単式２５゜神の河　　　　　　　　　　　　,122100,○２５°神の河（麦・貯蔵）７２０ｍｌ,4,0,24,91,華むすびの蔵センター,1202,"国分中部㈱第二支社 福井支店",26050800180,3,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082740,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4971980196655,,連続２０°鍛高譚　しそ焼酎（新）　　　　,122359,　２０°鍛高譚（しそ）７２０ｍｌ,0,3,3,3,坂井店,1202,"国分中部㈱第二支社 福井支店",202605071000,1,CASE,AUTO,NG,OK
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082741,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4901880110673,,サッポロ　＜生＞黒ラベル　　　　中瓶Ｐ函,141049,◎サッポロ　黒ラベル　中瓶５００ｍｌ,1,0,20,10,敦賀店,9012,"LW華本部 物流担当",20260506313,20,PIECE,TRANSFER,NG,NG
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082741,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4901880110673,,サッポロ　＜生＞黒ラベル　　　　中瓶Ｐ函,141049,◎サッポロ　黒ラベル　中瓶５００ｍｌ,1,0,20,4,サンドーム前店,9012,"LW華本部 物流担当",20260506365,20,PIECE,TRANSFER,NG,NG
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082741,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4901880110673,,サッポロ　＜生＞黒ラベル　　　　中瓶Ｐ函,141049,◎サッポロ　黒ラベル　中瓶５００ｍｌ,1,0,20,7,光陽店,9012,"LW華本部 物流担当",20260507393,40,PIECE,TRANSFER,NG,NG
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,082741,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4901880110741,,サッポロ　＜生＞黒ラベル　　　　小瓶Ｐ函,141039,　サッポロ　黒ラベル　小瓶３３４ｍｌ,1,0,30,91,華むすびの蔵センター,1202,"国分中部㈱第二支社 福井支店",26050800230,3,CASE,AUTO,NG,OK
