record_type,data_type,slip_number,shop_code,category_code,slip_type,order_date,delivery_date,route,contractor_code,shop_name,delivery_place,remarks,direct_shipping,supplier_code,file_name
B,01,01451022102,0001,211,01,250910,250911,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250910140020.txt
B,01,02451023370,0002,215,01,250910,250911,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250910140020.txt
B,01,03451024227,0003,210,01,250910,250911,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250910140020.txt
B,01,03451024229,0003,215,01,250910,250911,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250910140020.txt
B,01,03451024290,0003,210,01,250910,250911,,1017,ｻｶｲ,ｻｶｲ,,51,1017,COCA_20250910140020.txt
B,01,04451025849,0004,210,01,250910,250911,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250910140020.txt
B,01,07451018852,0007,214,01,250910,250911,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250910140020.txt
B,01,08451019970,0008,210,01,250910,250911,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250910140020.txt
B,01,08451019972,0008,214,01,250910,250911,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250910140020.txt
B,01,09451016060,0009,214,01,250910,250911,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250910140020.txt
B,01,10451032400,0010,250,01,250909,250911,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,31,1017,COCA_20250910140020.txt
B,01,10451032404,0010,210,01,250909,250911,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,31,1017,COCA_20250910140020.txt
B,01,10451032426,0010,211,01,250910,250911,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250910140020.txt
B,01,21451023164,0021,211,01,250910,250911,,1017,ｴﾓﾘ,ｴﾓﾘ,,91,1017,COCA_20250910140020.txt
B,01,22451018041,0022,210,01,250909,250911,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,21,1017,COCA_20250910140020.txt
B,01,22451018061,0022,214,01,250910,250911,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250910140020.txt
B,01,91451030869,0091,210,01,250910,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250910140020.txt
B,01,91451030871,0091,210,01,250910,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250910140020.txt
B,01,91451030872,0091,210,01,250910,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250910140020.txt
B,01,91451030873,0091,210,01,250910,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250910140020.txt
B,01,91451030874,0091,210,01,250910,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250910140020.txt
B,01,01451022366,0001,210,01,250913,250916,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,11,1017,COCA_20250913140015.txt
B,01,07451019072,0007,210,01,250912,250913,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,31,1017,COCA_20250913140015.txt
B,01,03451025804,0003,210,01,250928,250930,,1017,ｻｶｲ,ｻｶｲ,,11,1017,COCA_20250928235016.txt
B,01,03451025806,0003,210,01,250928,250930,,1017,ｻｶｲ,ｻｶｲ,,11,1017,COCA_20250928235016.txt
B,01,03451025812,0003,210,01,250928,250930,,1017,ｻｶｲ,ｻｶｲ,,11,1017,COCA_20250928235016.txt
B,01,09451017052,0009,210,01,250928,250930,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,21,1017,COCA_20250928235016.txt
B,01,91451033105,0091,210,01,250927,250930,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,29,1017,COCA_20250928235016.txt
B,01,11451023997,0011,210,01,250904,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250904140023.txt
B,01,11451023999,0011,210,01,250904,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250904140023.txt
B,01,10451033152,0010,210,01,250915,250918,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,11,1017,COCA_20250916140025.txt
B,01,10451033284,0010,210,01,250916,250918,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,31,1017,COCA_20250916140025.txt
B,01,21451023658,0021,210,01,250915,250916,,1017,ｴﾓﾘ,ｴﾓﾘ,,21,1017,COCA_20250916140025.txt
B,01,91451031532,0091,210,01,250916,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,27,1017,COCA_20250916140025.txt
B,01,91451031534,0091,210,01,250916,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250916140025.txt
B,01,98451005754,0098,250,01,250916,250918,,1017,ｶﾅｻﾞﾜｷﾞｮｳﾑ,ｶﾅｻﾞﾜｷﾞｮｳﾑ,,11,1017,COCA_20250916140025.txt
B,01,10451034334,0010,210,01,250925,250927,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,31,1017,COCA_20250925140033.txt
B,01,11451025910,0011,210,01,250925,250927,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250925140033.txt
B,01,11451025912,0011,210,01,250925,250927,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250925140033.txt
B,01,22451019105,0022,210,01,250925,250927,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,11,1017,COCA_20250925140033.txt
B,01,01451022020,0001,210,01,250908,250918,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,11,1017,COCA_20250909140019.txt
B,01,01451022022,0001,210,01,250908,250918,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,11,1017,COCA_20250909140019.txt
B,01,91451030704,0091,210,01,250908,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250909140019.txt
B,01,91451030737,0091,210,01,250909,250911,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250909140019.txt
B,01,07451019852,0007,210,01,250923,250925,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,31,1017,COCA_20250923140022.txt
B,01,91451032535,0091,250,01,250923,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250923140022.txt
B,01,91451032562,0091,210,01,250923,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250923140022.txt
B,01,91451032587,0091,210,01,250923,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250923140022.txt
B,01,01451023736,0001,210,01,250929,250930,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250929140023.txt
B,01,01451023738,0001,211,01,250929,250930,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250929140023.txt
B,01,01451023740,0001,212,01,250929,250930,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250929140023.txt
B,01,01451023742,0001,213,01,250929,250930,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250929140023.txt
B,01,02451025115,0002,210,01,250929,250930,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250929140023.txt
B,01,02451025117,0002,211,01,250929,250930,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250929140023.txt
B,01,02451025119,0002,214,01,250929,250930,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250929140023.txt
B,01,03451025971,0003,210,01,250929,250930,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250929140023.txt
B,01,03451025973,0003,212,01,250929,250930,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250929140023.txt
B,01,03451025975,0003,214,01,250929,250930,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250929140023.txt
B,01,03451025977,0003,215,01,250929,250930,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250929140023.txt
B,01,04451027604,0004,211,01,250929,250930,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250929140023.txt
B,01,04451027606,0004,214,01,250929,250930,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250929140023.txt
B,01,04451027608,0004,215,01,250929,250930,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250929140023.txt
B,01,07451020258,0007,210,01,250929,250930,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250929140023.txt
B,01,07451020260,0007,211,01,250929,250930,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250929140023.txt
B,01,08451021447,0008,214,01,250929,250930,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250929140023.txt
B,01,09451017149,0009,210,01,250929,250930,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,11,1017,COCA_20250929140023.txt
B,01,09451017159,0009,211,01,250929,250930,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250929140023.txt
B,01,09451017161,0009,214,01,250929,250930,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250929140023.txt
B,01,10451034664,0010,210,01,250929,250930,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,11,1017,COCA_20250929140023.txt
